nds,de,title
Du büst dämelig.,Du bist dumm.,
He deed in Holsken afbotten.,Er stiefelte in Holzschuhen fort.,
Wis mi diene!,Zeige mir deins!,
He is op ’t Partermang.,Er ist auf der Toilette.,
Dor is en gelen Roos.,Da ist eine gelbe Rose.,
Se hätt em vördull peddt.,Sie hat ihn arg getreten.,
’Keen von de Jungs in dien Klass singt opbest?,Wer von den Jungen in deiner Klasse singt am besten?,
Se hebbt keen Spaansch snackt.,Sie sprachen kein Spanisch.,
De Tog wees vonwegen en Sneestorm twe Stunnen to lat.,Der Zug hatte wegen eines Schneesturms 2 Stunden Verspätung.,
Se het em instellt.,Sie hat ihn eingestellt.,
He mag kene Appelsienen.,Er mag keine Apfelsinen.,
Kann ik en Busfohrplaan kregen?,Könnte ich einen Busfahrplan bekommen?,
"Se hett nich maal versöch, dat richtige to doon.","Sie hatte nicht einmal versucht, das Richtige zu tun.",
Ik heff veele an di dach.,Ich habe viel an dich gedacht.,
De hogen Luftfuchtigkeid maakt mi ganz dösig.,Die hohe Luftfeuchtigkeit macht mich ganz müde.,
Du musst vörsichtiger wesen.,Du musst vorsichtiger sein.,
De Heven verdüüster sick.,Der Himmel verdunkelte sich.,
Disse Schrievdisch is ut Holt.,Dieser Schreibtisch ist aus Holz.,
Du musst gahn.,Du musst gehen.,
"Ik kan mi besinnst, wat he seggt hätt.","Ich erinnere mich daran, was er gesagt hat.",
Ik weet nix över ehr Plaans.,Ich weiß nichts über ihre Pläne.,
Öösterriek is al 1978 ut de Atomenergie utstegen.,Österreich ist bereits 1978 aus der Atomenergie ausgestiegen.,
De Schoolmeester sitt op ’n Stohl.,Der Lehrer sitzt auf dem Stuhl.,
Ik mag Spraken!,Ich mag Sprachen!,
Büs du en Töverer?,Bist du ein Zauberer?,
Ik kan nicht besünners goods kieken.,Ich sehe nicht sehr gut.,
Du musst di spoden.,Du musst dich beeilen.,
Du musst di spoden.,Du musst dich sputen.,
Wi köönt de Achtersied von ’n Maand ich sehen.,Wir können nicht die Hinterseite des Mondes sehen.,
Worüm is he mucksch?,Warum ist er beleidigt?,
Ik bün noch nech meud.,Ich bin noch nicht müde.,
De Patient liggt op dat Dodenbedd.,Der Patient liegt auf dem Totenbett.,
Jim mag den Dokter.,Jim mag den Arzt.,
Jim mag den Dokter.,Jim mag den Doktor.,
Sünd Tom un Rias alle beid to lat to’n Ünnerricht kamen?,Sind Tom und Maria alle beide zu spät zum Unterricht gekommen?,
Se sünd op en eensame Insel utsett worrn.,Sie wurden auf einer einsamen Insel ausgesetzt.,
Se hör stünnenlang Musiek.,Sie hörte stundenlang Musik.,
"Ik weet, datt Marko krank wäsen is.","Ich weiß, dass Marko krank gewesen ist.",
Wat is datt?,Was ist das?,
Woveel Nachten blifft ji?,Wie viele Nächte bleibt ihr?,
Se is wiss över veertig.,Sie ist mit Sicherheit über vierzig.,
Du gest twe Böker.,Du hast zwei Bücher.,
Hest du twee Böker?,Hast du zwei Bücher?,
He itt keene rohen Fischen.,Er isst keinen rohen Fisch.,
Ik kenn datt Geföhl.,Ich kenne das Gefühl.,
Ik gah vonavend mit Lisa ut.,Ich gehe heute Abend mit Lisa aus.,
Laat uns verpuusten.,Lass uns eine Pause machen.,
Laat uns verpuusten.,Lasst uns eine Pause machen.,
Wo lang kann ik mi dit Book lehnen?,Wie lang kann ich mir dieses Buch ausleihen?,
Miene Geboortsdatum is in ’n Juli.,Mein Geburtstag ist im Juli.,
Wat is de Ünnerscheed twüschen en Duuv?,Was ist der Unterschied zwischen einer Taube?,
Ria toog sik an.,Maria zog sich an.,
Ik heff noch nix daan.,Ich habe noch nichts getan.,
Tohuus gah ik lever barft.,Zu Hause gehe ich lieber barfuß.,
Tracy hett ehr Brill verloren.,Tracy hat ihre Brille verloren.,
Swiegen is Gold.,Schweigen ist Gold.,
"Ik bün nicht paranoid, de sünd worraftig rachter mi her!","Ich bin nicht paranoid, sie sind tatsächlich hinter mir her!",
De Chineesche Müür is mihr as 5.500 Mielen lange.,Die Chinesische Mauer ist mehr als 5.500 Meilen lang.,
De Hund is dood.,Der Hund ist tot.,
Ik verlaat Tatoeba.,Ich verlasse Tatoeba.,
De Düvel schittst jümmer op den gröttsten Hümpel.,Der Teufel scheißt immer auf den größten Haufen.,
Hess du en Trüggfohrkoort kofft?,Hast du eine Rückfahrkarte gekauft?,
"Datt is en Huus, jüst as datt, wat ik sehen heff.","Es ist ein Haus, genau wie das, was ich gesehen habe.",
Du blöddst an ’e Nees.,Du blutest an der Nase.,
Datt is för en Fründ von mi.,Es ist für einen Freund von mir.,
"Tööv man, ik roop Jimmy.","Warte kurz, ich rufe Jimmy.",
Bob deed Pastoor warrn.,Bob wurde ein Pfarrer.,
Se wahnt alleen in de Kamer.,Sie wohnt alleine in dem Zimmer.,
Se wohnt alleen in de Komer.,Sie wohnt allein in dem Zimmer.,
"Maak dat man glieks, dat du dat nich vergittst.","Mache es gleich, damit du es nicht vergisst.",
Woans se snackt!,Wie sie spricht!,
De Bökerladen is dicht bi ’n Park.,Der Buchladen ist nahe am Park.,
Ik bün de Gröttste in mien Klass.,Ich bin der Größte in meiner Klasse.,
Hett Tom Kinner?,Hat Tom Kinder?,
Hest du datt to ’n eersten Mal pröövt?,Hast du das das erste Mal gekostet?,
Jeedeen drünk en Glas.,Jeder trank ein Glas.,
"Tom wull, datt sien Kinners Fransch lihrt.","Tom will, dass seine Kinder Französisch lernen.",
"Sütt ut, as wenn Bikinis dit Johr in sünd.","Es sieht aus, als ob Bikinis in diesem Jahr Mode sind.",
"Vertell em dat, wenn he trüggkummt.","Erzähle ihm das, wenn er zurückkommt.",
Disse Stohl is för mi to siet.,Dieser Stuhl ist zu niedrig für mich.,
Disse Stohl is to siet för mi.,Dieser Stuhl ist zu niedrig für mich.,
Düsse Stohl is to siet för mi.,Dieser Stuhl ist für mich zu niedrig.,
Düsse Stohl is för mi to siet.,Dieser Stuhl ist für mich zu niedrig.,
Ik bün jüst von de Post torüchkamen.,Ich bin gerade von der Post zurückgekommen.,
Töövst du op een?,Wartest du auf jemanden?,
Lat uns äten gohn.,Lasst uns essen gehen.,
"Ik weet ich, wat he dood odder lebennig is.","Ich weiß nicht, ob er tot oder lebendig ist.",
Ik kaam ut datt Swavenland.,Ich komme aus dem Schwabenland.,
"Warrn seggt, de Leevd maakt blind.","Man sagt, Liebe mache blind.",
Ik heff keene Kinners.,Ich habe keine Kinder.,
Lees düssen Satz nech.,Diesen Satz nicht lesen!,
Datt Gras von de Navers is alltied grönen.,Das Gras der Nachbarn ist immer grüner.,
"Ik gläuv, Tom meent, dat ik dat denk.","Ich glaube, Tom meint, dass ich das denke.",
Ik wees bang to laat to wesen.,Ich fürchtete zu spät zu sein.,
Ik wees bange to lat to wäsen.,Ich hatte Angst mich zu verspäten.,
Twe maol dörteihn is sössuntwintig.,Zwei mal dreizehn ist sechsundzwanzig.,
"Wiss kansst du datt nehmen, wenn du datt wullt.","Natürlich kannst du es nehmen, wenn du es willst.",
Datt is datt Gesett.,Das ist das Gesetz.,
"Ofschoonst Grööndunnersdag na ’t Gesett keene Fierdag is, gellt an düssen Dag na Paragraaf 10 von datt Fierdaaggesett in Baden-Württembarg en Dansverbaad.","Obwohl der Gründonnerstag kein gesetzlicher Feiertag ist, gilt an diesem Tag nach Paragraph 10 des Feiertagsgesetzes in Baden-Württemberg ein Tanzverbot.",
Kannst du disse Taschen in ’n Kuffer packen?,Kannst du diese Taschen in den Koffer packen?,
Woneem is Noorden?,Wo ist Norden?,
Ahn Woter unn nüms op de Welt läven.,Ohne Wasser könnte niemand auf der Erde leben.,
Frankriek hett wat gegen Taters.,Frankreich hat etwas gegen Zigeuner.,
Gah in ’n Park.,Geh in den Park.,
Wat is di wichtig?,Was ist dir wichtig?,
Ik heff in miene Goorn en Peerschboom plant.,Ich habe in meinem Garten einen Pfirsichbaum gepflanzt.,
"Wettst du, waorüm as he nicht in ’e School wees?","Weißt du, warum er nicht in der Schule war?",
Du kunnst würklich tæmlich goods neihn.,Du kannst wirklich sehr gut nähen.,
Wannehr hess du em datt eerste Mal dropen?,Wann hast du ihn zum ersten Mal getroffen?,
Büst du dood?,Bist du tot?,
Ik kan jo ich noog laven.,Ich kann euch nicht genug loben.,
Kümmst du to miene Fier?,Kommst du zu meiner Party?,
"Dor wören Schäper, de op jemehr Hood oppassen deden.","Da waren Schäfer, die auf ihre Herde aufpassten.",
Na ’t Lüchten keem datt Rummeln.,Nach dem Blitz kam der Donner.,
"Ik heff em drapen, as ik in Paris wees.","Ich habe ihn getroffen, als ich in Paris war.",
He dor! Höörst du mi?,Hallo! Hörst du mich?,
Mööt wi den Buss nehmen?,Müssen wir den Bus nehmen?,
De Tähndokter het mi miene fulen Tähn trocken.,Der Zahnarzt hat mir meinen schlechten Zahn gezogen.,
Se hätt nech veele Geld.,Sie hat nicht viel Geld.,
He smökt nicht.,Er raucht nicht.,
Toern Maandag is en Fierdag.,Der nächste Montag ist ein Feiertag.,
"So as de Amerikaners Baseball geern hebbt, hebbt de Briten Cricket geern.","So wie die Amerikaner Baseball mögen, mögen die Briten Cricket.",
Wo lang slöppt en Boor?,Wie lange schläft ein Bär?,
Wi doon datt jedet Joht.,Wir tun das jedes Jahr.,
In ’e Köök is en Katt.,In der Küche ist eine Katze.,
"He het sick anwennt, mit Butenlänners to snacken.","Er hat sich angewöhnt, mit Ausländern zu sprechen.",
"Mi dücht, wi schullt noch en halve Stünn töven.","Ich glaube, wir sollten noch eine halbe Stunde warten.",
Vandaag heff ik nigge Holschen köfft.,Heute habe ich neue Holzschuhe gekauft.,
He kan goods kaken.,Er kann gut kochen.,
Dat bruuk ik.,Das brauche ich.,
Waorüm sünd wi huer?,Warum sind wir hier?,
Huer is miene Telefoonnnummer.,Hier ist meine Telefonnummer.,
Se hett een Söhn un twee Döchter.,Sie hat einen Sohn und zwei Töchter.,
Büst du mit dien Arbeid trech?,Bist du mit deiner Arbeit fertig?,
Ik wees noch nie in Neeseeland.,Ich war niemals in Neuseeland.,
En Krokodiel hätt em datt Been afbeten.,Ein Krokodil hat ihm das Bein abgebissen.,
"Ik heff Lust, Hebrääsch to lihren.",Ich habe Lust Hebräisch zu lernen.,
Se unn ehr Ogen ich von em kregen.,Sie konnte ihre Augen nicht von ihm abwenden.,
Wat för en Swienkraam!,Was für eine Sauerei!,
He deed önnig jappen.,Er gähnte ausgiebig.,
"Ik mag em nech, aver ik mag ehr.","Ich mag ihn nicht, aber ich mag sie.",
Tom is teemlich swipp.,Tom ist sehr geschickt.,
Ik will keen Fleesch.,Ich will kein Fleisch.,
Tom deed siene Fööt schrubben.,Tom schrubbte seine Füße.,
Se hett een Dutz Eier köfft.,Sie kaufte ein Dutzend Eier.,
Uns Team hett den Weddstried wunnen.,Unsere Mannschaft hat das Spiel gewonnen.,
"Ik kann mi nich besinnen, woneem ik dat köfft heff.","Ich kann mich nicht erinnern, wo ich es gekauft habe.",
Neptun is de acht Planeet von datt Sünnsysteem.,Neptun ist der achte Planet des Sonnensystems.,
Ik bün in tein Minuten trügg.,Ich bin in zehn Minuten zurück.,
De Töög fohrt alle twe Stunnen.,Die Züge fahren alle zwei Stunden.,
"Sodraad se trügg is, roop ik jo an.","Sobald sie zurück sind, rufe ich euch an.",
Wannehr harrn se dissen Unfall?,Wann hatte sie diesen Unfall?,
Wi maakt jüst Plaans för de Feerne.,Wir machen gerade Pläne für die Ferien.,
"Ik bruuk een, de mi in ’n Arm nimmt un mi seggt, dat allen wedder good warrn.","Ich brauche jemand, der mich in den Arm nimmt und mir sagt, dass alles wieder gut wird.",
Ik bün gröttern as he.,Ich bin größer als er.,
Ik arbeid hier. Ik bün keen Gast.,Ich arbeite hier. Ich bin kein Gast.,
Tom hett ’n Halfbroder.,Tom hat einen Halbbruder.,
Disse Schokolaad is unbannig sööt un lecker.,Diese Schokolade ist total süß und lecker.,
Wi mööt uns an datt Gesett hollen.,Wir müssen uns an das Gesetz halten.,
Tom het en Leeg övers Rias schräven.,Tom hat ein Lied über Maria geschrieben.,
Tom hätt sick al jümmerto vun’e anner Kinners ünnerscheeden.,Tom hat sich schon immer von den anderen Kindern unterschieden.,
Tom is up de Straat vüör de Kark doodschaten worrn.,Tom wurde auf der Straße vor der Kirche erschossen.,
Tom is up de Straat vör de Kark doodschaten worrn.,Tom wurde auf der Straße vor der Kirche totgeschossen.,
Tom is ünnen.,Tom ist unten.,
En Lastwagen deed de Straat langsjagen.,Ein Lastwagen raste die Straße entlang.,
Ik bün jüst opstahn.,Ich bin gerade aufgestanden.,
Haal de Appelsienen ut ’n Köhlschapp.,Hole die Orangen aus dem Kühlschrank.,
Se seeg en Spökels un verfehr sik.,Sie sah ein Gespenst und erschrak.,
Se hebbt sik körtens freet.,Sie haben kürzlich geheiratet.,
Nööm mi Ismael.,Nenne mich Ismael.,
"Wat vertellst du mi opmaal von Nielpeer? Ik verstoh nicht, wat de mit dien twölv Goldfisch to doot hebbt?",Wieso erzählst du mir plötzlich von Nilpferden? Ich sehe den Zusammenhang zwischen ihnen und deinen zwölf Goldfischen nicht.,
Bi mi tohuus brukt wi Margarien un keene Botter.,Bei mir zu Hause verwenden wir Margarine statt Butter.,
Ik lach mi dal.,Ich lach mich kaputt.,
Ik lach mi dal!,Ich lache mich kaputt!,
Ich alle Vogels köönt flegen.,Nicht alle Vögel können fliegen.,
Tom wull nech mit di snacken.,Tom will nicht mit dir reden.,
Strengsnacken is siene Antwoord nicht korrekt.,Genau genommen ist seine Antwort nicht zutreffend.,
"Du musst doon, wat ik segg.","Du musst tun, was ich sage.",
Tom keem vör Mary an.,Tom kam vor Mary an.,
Welke Hoorfarv hett Tom?,Welche Haarfarbe hat Tom?,
Se het em schreen hört.,Sie hat ihn schreien gehört.,
Se hett em schreen höört.,Sie hat ihn schreien hören.,
Datt Schipp lööp op Grund.,Das Schiff lief auf Grund.,
Se sünd Frünnen bleven.,Sie sind Freunde geblieben.,
"Gesetten sünd as Spinnweven, de lütten Flegen infangt, man Wöpschen un Peerhöörnken dörbreken lett.","Gesetze sind wie Spinnweben, die kleine Fliegen einfangen, aber Wespen und Hornissen durchbrechen lassen.",
Wat en grotten Junge he is!,Was er für ein großer Junge ist!,
Wat en grotten Jund he is!,Was für ein großer Junge er ist!,
Snackt ji mit mi?,Redet ihr mit mir?,
De Jugs sünd na Noorden gohn.,Die Jungen sind nach Norden gegangen.,
Ik will noch en beten toslapen!,Ich will noch ein bisschen schlafen!,
Woveel Bookstaven hätt datt Alphabeet?,Wie viele Buchstaben hat das Alphabet?,
Dor wees maal en groot Slott op den lütten Barg.,Es gab einmal ein großes Schloss auf dem kleinen Berg.,
Ik bün blau.,Ich bin betrunken.,
Ik bün blau.,Ich bin blau.,
De Bruud deed opmaal loospruuschen.,Die Braut lachte plötzlich.,
Ik seh allen dubbelte.,Ich sehe alles doppelt.,
Se künnt hier up se teuven.,Sie können hier auf sie warten.,
Laat mi nich alleen!,Lass mich nicht allein!,
Ik sliek mi in dat Huus.,Ich schleiche mich ins Haus.,
Du schusst mehr eten.,Du solltest mehr essen.,
He rööp üm Middernacht an.,Er rief um Mitternacht an.,
Anter.,Antworte!,
"Wat meenst du dor mit, datt du datt ich wettst?","Was meinst du damit, dass du das nicht weißt?",
Ik söök na en Arbeidssteed.,Ich suche eine Arbeitsstelle.,
Ik söök na en Arbeidssteed.,Ich bin auf der Suche nach einer Arbeitsstelle.,
"Ik heff vergäten, em dorna to frogen.","Ich habe vergessen, ihn danach zu fragen.",
Tofällig funn he sien verloren Kamera wedder.,Zufällig fand er seine verlorene Kamera wieder.,
Elk Hahn kreiht op siene egen Mesthümpel.,Jeder Hahn kräht auf seinem eigenen Misthaufen.,
Woneem kan een Böker köpen?,Wo kann man Bücher kaufen?,
Uns Tuun is ut Iesen.,Unser Zaun ist aus Eisen.,
Nu sünd ji an ’e Reeg.,Jetzt seid ihr dran.,
St. Louis in Missouri is beropen för den Gateway Arch un de Anheuser-Busch-Broeree.,St. Louis in Missouri ist berühmt für den Gateway Arch und die Anheuser-Busch-Brauerei.,
Hört düsse Böker di to odder mi?,Gehören dir diese Bücher oder mir?,
Föhrst du mit ’n Bus na Tokyo?,Fährst du mit dem Bus nach Tokio?,
Se unn alltied op all Frogen antern.,Sie konnte immer auf alle Fragen antworten.,
Hest du enen Knall?,Hast du einen Knall?,
Wo faken musst du na ’n Tähndokter?,Wie oft musst du zum Zahnarzt?,
’keene het dissen Kauken backt?,Wer hat diesen Kuchen gebacken?,
De Köningin hätt datt Museum besökt.,Die Königin hat das Museum besucht.,
De Köningin hett dat Museum besöcht.,Die Königin besuchte das Museum.,
"„Meist veer Pund“, seed Bob.","„Fast vier Pfund“, sagt Bob.",
De Meed is verdammt nochmaal to hoog.,Die Miete ist verdammt noch mal zu hoch.,
Ted speelt geern Trumpeet.,Ted spielt gerne Trompete.,
"Wenn dat nich wohr is, is dat doch good utdacht.","Wenn das nicht wahr ist, ist es doch gut ausgedacht.",
Ik heff dat trechkregen.,Ich habe es fertig gebracht.,
Tom het dreedusend Yen in ’e Tasch.,Tom hat dreitausend Yen in der Tasche.,
He hätt ehr towunken.,Er hat ihr zugewinkt.,
"Se hebbt allerwegens op de Welt Filialen, von Kalkutta bet New York.","Sie haben überall auf der Welt Filialen, von Kalkutta bis New York.",
De Sommerfeern anfangt in ’n Juli an.,Die Sommerferien beginnen im Juli.,
"Kiek diene Katte to, dann liehrst du ehr kennen.","Beobachte deine Katze, dann wirst du sie kennen lernen.",
De Hund jagt de Katz üm’n Boom.,Der Hund jagt die Katze um den Baum.,
"Ik mag all Films, bi de Juzo Itami Speelbaas is.","Ich mag alle Filme, bei denen Juzo Itami Regisseur ist.",
Ik heff mi heesch snackt.,Ich redete mich heiser.,
Leest dissen Satz nich.,Diesen Satz nicht lesen!,
"Köttens, as wi in’n Bookladen in Schottland weren, do freug mien Fru den jungen Verkäuper, of he vun’n bestimmten Kinnerbook en Utgoov up Gäälsch harrn.","Als wir kürzlich in einer Buchhandlung in Schottland waren, fragte meine Frau den jungen Verkäufer, ob er von einem bestimmten Kinderbuch eine Ausgabe auf Gälisch habe.",
De Weltruum is vull mit Radels.,Der Weltraum ist voller Rätsel.,
Worüm hest du dat seggt?,Warum hast du das gesagt?,
"Mien Hund Wolfgang slöppt jümmer neven mi op’e Bank, wieldat ik mi mit’n Reekner befaten do.","Mein Hund Wolfgang schläft immer neben mir auf der Bank, während ich am Rechner arbeite.",
Ik schall nienich opgeven.,Ich werde niemals aufgeben.,
Du musst mihr arbeidt.,Du musst mehr arbeiten.,
Ik will Ies natoeten.,Ich will Eis zum Nachtisch.,
Woneem is de Zoo?,Wo ist der Zoo?,
Ik will ik wees wedder junge.,"Ich wünschte, ich wäre wieder jung.",
He hett noch wedder den Weddloop wunnen.,Er gewann erneut den Wettlauf.,
De Sozialistische Partei hett man 18% von de Stimmen kregen.,Die Sozialistische Partei hat nur 18% der Stimmen bekommen.,
Wat heff ik daan?,Was habe ich getan?,
Ik bün ook frömd huer.,Ich bin auch fremd hier.,
Wi sünd op de Knee gahn un hebbt beedt.,Wir knieten uns hin und beteten.,
Snack luder. Diene Opa hört nech mihr so goods.,Sprich lauter! Dein Opa hört nicht mehr so gut.,
Het he di wat seggt?,Hat er dir etwas gesagt?,
Dat Bild hängt scheev.,Das Bild hängt schief.,
Dat is tohoop utverköfft.,Es ist komplett ausverkauft.,
Datt hätt mi verblüfft.,Das hat mich verblüfft.,
Se driggt en düren Ring.,Sie trägt einen teuren Ring.,
"Wenn ik Tom seh, segg ik em, dat ji em söcht hebbt.","Wenn ich Tom sehe, sage ich ihm, dass ihr ihn gesucht habt.",
Se het so smucke Ogen.,Sie hat so schöne Augen.,
De Slüters wüllt von Middernacht af an drie Daag lange striekt.,Die Gefängniswärter werden ab Mitternacht drei Tage lang streiken.,
Intressant.,Interessant.,
De Eer dreiht sik üm de Sünn.,Die Erde umkreist die Sonne.,
Wat harrst du?,Was hattest du?,
Ik speel Sudoku un stöör di nich mehr.,"Ich werde also Sudoku spielen, anstatt dich weiter zu stören.",
De Luft is rut.,Die Luft ist raus.,
"Dat Kind lett, as wenn dat slöppt.",Das Kind scheint zu schlafen.,
Wo geiht mien Söhn dat?,Wie geht es meinem Sohn?,
Woneem gest du Chineesche lihrt?,Wo hast du Chinesisch gelernt?,
Böst du n Student?,Bist du Student?,
Speelst du mit mien Fööt?,Spielst du mit meinen Füßen?,
"Datt deed to lange duren, di to verkloren, waorüm as datt nicht gohn deed.","Das würde zu lange dauern, dir zu erklären, warum das nicht funktionieren wird.",
Miene Nover hätt siene Huus kumplett reneveert.,Mein Nachbar hat sein Haus komplett renoviert.,
Na en Stoot keem he mit en Wöörbook ünner ’n Arm trügg.,Nach einer Weile kam er mit einem Wörterbuch unter dem Arm zurück.,
"Wenn de Katten pruust, warrn dat good Weder.","Wenn die Katzen niesen, wird das Wetter gut.",
Hest du keen Stimm in ’n annern Ruum höört?,Hast du keine Stimme im Nebenraum gehört?,
Dree Beer un een Tequila harrn ik geern.,"Drei Bier und einen Tequila, bitte!",
Ik bruuk dat nich mehr.,Ich brauche es nicht mehr.,
Ik bruuk dat nich mehr.,Ich brauche das nicht mehr.,
Datt is nix as en Löög!,Das ist nichts als eine Lüge!,
Wat wullt du geern doon?,Was würdest du gerne machen?,
Ik heff dat mit de Neren.,Ich habe etwas mit den Nieren.,
Ik swemm gern.,Ich schwimme gern.,
Mike hett en poor Frünnen in Florida.,Mike hat ein paar Freunde in Florida.,
Disse is beter.,Dieses ist besser.,
Miene Hund tillert mit ’n Steert.,Mein Hund wedelt mit dem Schwanz.,
Dor dröff ik nix to seggen.,Da darf ich nichts zu sagen.,
Bi Nacht sünd alle Katten gries.,Bei Nacht sind alle Katzen grau.,
