nds,de,title
Du büs dämelig.,Du bist dumm.,
He deed in Holsken afbotten.,Er stiefelte in Holzschuhen fort.,
Wis mi diene!,Zeige mir deins!,
He is op ’t Partermang.,Er ist auf der Toilette.,
Dor is en gelen Roos.,Da ist eine gelbe Rose.,
Se het em vördull peddt.,Sie hat ihn arg getreten.,
’Keene von de Jugs in diene Klass singt opbest?,Wer von den Jungen in deiner Klasse singt am besten?,
Se hebbt keene Spaansche utsnackt.,Sie sprachen kein Spanisch.,
De Tog wees vonwegen en Sneestorm twe Stunnen to lat.,Der Zug hatte wegen eines Schneesturms 2 Stunden Verspätung.,
Se hätt em instellt.,Sie hat ihn eingestellt.,
He mag kene Appelsienen.,Er mag keine Apfelsinen.,
Kan ik en Busfohrplaan kregen?,Könnte ich einen Busfahrplan bekommen?,
"Se het ich mal versöch, datt richtige to doot.","Sie hatte nicht einmal versucht, das Richtige zu tun.",
Ik heff veele an di dach.,Ich habe viel an dich gedacht.,
De hogen Luftfuchtigkeid maakt mi ganz dösig.,Die hohe Luftfeuchtigkeit macht mich ganz müde.,
Du musst vörsichtiger wäsen.,Du musst vorsichtiger sein.,
De Heven verdüüster sick.,Der Himmel verdunkelte sich.,
Düsse Schrievdisch is ut Holt.,Dieser Schreibtisch ist aus Holz.,
Du musst gohn.,Du musst gehen.,
"Ik kan mi besinnst, wat he seggt hätt.","Ich erinnere mich daran, was er gesagt hat.",
Ik weet nix övers ehr Plaans.,Ich weiß nichts über ihre Pläne.,
Öösterriek is al 1978 ut de Atomenergie utstegen.,Österreich ist bereits 1978 aus der Atomenergie ausgestiegen.,
De Schoolmeester sitt op ’n Stohl.,Der Lehrer sitzt auf dem Stuhl.,
Ik mag Spraken!,Ich mag Sprachen!,
Böst du en Töverer?,Bist du ein Zauberer?,
Ik kan nech besünners goods kieken.,Ich sehe nicht sehr gut.,
Du musst di spoden.,Du musst dich beeilen.,
Du musst di spoden.,Du musst dich sputen.,
Wi köönt de Achtersied von ’n Maand nicht sehen.,Wir können nicht die Hinterseite des Mondes sehen.,
Waorüm is he mucksch?,Warum ist er beleidigt?,
Ik bün noch ich meud.,Ich bin noch nicht müde.,
De Patient liggt op datt Dodenbedd.,Der Patient liegt auf dem Totenbett.,
Jim mag den Dokter.,Jim mag den Arzt.,
Jim mag den Dokter.,Jim mag den Doktor.,
Sünd Tom un Rias alle beid to lat to’n Ünnerricht kamen?,Sind Tom und Maria alle beide zu spät zum Unterricht gekommen?,
Se sünd op en eensame Insel utsett worrn.,Sie wurden auf einer einsamen Insel ausgesetzt.,
Se hör stünnenlang Musiek.,Sie hörte stundenlang Musik.,
"Ik weet, datt Marko krank wäsen is.","Ich weiß, dass Marko krank gewesen ist.",
Wat is datt?,Was ist das?,
Woveel Nachten blifft ji?,Wie viele Nächte bleibt ihr?,
Se is wiss övers vertig.,Sie ist mit Sicherheit über vierzig.,
Du gest twe Böker.,Du hast zwei Bücher.,
Hess du twe Böker?,Hast du zwei Bücher?,
He itt keene rohen Fischen.,Er isst keinen rohen Fisch.,
Ik kenn datt Geföhl.,Ich kenne das Gefühl.,
Ik gah vonavend mit Lisa ut.,Ich gehe heute Abend mit Lisa aus.,
Lat uns verpuusten.,Lass uns eine Pause machen.,
Lat uns verpuusten.,Lasst uns eine Pause machen.,
Wo lange kan ik mi dit Book lehnen?,Wie lang kann ich mir dieses Buch ausleihen?,
Miene Geboortsdatum is in ’n Juli.,Mein Geburtstag ist im Juli.,
Wat is de Ünnerscheed twüschen en Duuv?,Was ist der Unterschied zwischen einer Taube?,
Rias toog sick an.,Maria zog sich an.,
Ik heff noch nix daan.,Ich habe noch nichts getan.,
Tohuus gah ik lever barft.,Zu Hause gehe ich lieber barfuß.,
Tracy het ehr Brill verlorene.,Tracy hat ihre Brille verloren.,
Swiegen is Gold.,Schweigen ist Gold.,
"Ik bün nech paranoid, de sünd worraftig rachter mi her!","Ich bin nicht paranoid, sie sind tatsächlich hinter mir her!",
De Chineesche Müür is mihr as 5.500 Mielen lange.,Die Chinesische Mauer ist mehr als 5.500 Meilen lang.,
De Hund is dood.,Der Hund ist tot.,
Ik verlaat Tatoeba.,Ich verlasse Tatoeba.,
De Düwel schittst jümmerto op den gröttsten Hümpel.,Der Teufel scheißt immer auf den größten Haufen.,
Gest du en Trüggfohrkoort kofft?,Hast du eine Rückfahrkarte gekauft?,
"Datt is en Huus, jüst as datt, wat ik sehen heff.","Es ist ein Haus, genau wie das, was ich gesehen habe.",
Du blöddst an ’e Nees.,Du blutest an der Nase.,
Datt is för en Fründ von mi.,Es ist für einen Freund von mir.,
"Tööv man, ik roop Jimmy.","Warte kurz, ich rufe Jimmy.",
Bob deed Pastoor warrt.,Bob wurde ein Pfarrer.,
Se wohnt alleen in de Komer.,Sie wohnt alleine in dem Zimmer.,
Se wohnt alleen in de Kamern.,Sie wohnt allein in dem Zimmer.,
"Mak datt man gliek, datt du datt nicht vergittst.","Mache es gleich, damit du es nicht vergisst.",
Woans se utsnackt!,Wie sie spricht!,
De Bökerladen is dicht bi ’n Park.,Der Buchladen ist nahe am Park.,
Ik bün de Gröttst in miene Klass.,Ich bin der Größte in meiner Klasse.,
Hätt Tom Kinners?,Hat Tom Kinder?,
Hess du datt to ’n eersten Maol pröövt?,Hast du das das erste Mal gekostet?,
Jeedeen drunk en Glas.,Jeder trank ein Glas.,
"Tom wull, datt sien Kinners Fransch lihrt.","Tom will, dass seine Kinder Französisch lernen.",
"Süht ut, as wenn Bikinis dit Joht in sünd.","Es sieht aus, als ob Bikinis in diesem Jahr Mode sind.",
"Vertell em datt, wenn he trüggkummt.","Erzähle ihm das, wenn er zurückkommt.",
Düsse Stohl is för mi to siet.,Dieser Stuhl ist zu niedrig für mich.,
Düsse Stohl is to siet för mi.,Dieser Stuhl ist zu niedrig für mich.,
Düsse Stohl is to siet för mi.,Dieser Stuhl ist für mich zu niedrig.,
Düsse Stohl is för mi to siet.,Dieser Stuhl ist für mich zu niedrig.,
Ik bün jüst von de Post torüchkamen.,Ich bin gerade von der Post zurückgekommen.,
Töövst du op een?,Wartest du auf jemanden?,
Lat uns äten gohn.,Lasst uns essen gehen.,
"Ik weet ich, wat he dood odder lebennig is.","Ich weiß nicht, ob er tot oder lebendig ist.",
Ik kaam ut datt Swavenland.,Ich komme aus dem Schwabenland.,
"Warrn seggt, de Leevd maakt blind.","Man sagt, Liebe mache blind.",
Ik heff keene Kinners.,Ich habe keine Kinder.,
Lees düssen Satz nech.,Diesen Satz nicht lesen!,
Datt Gras von de Navers is alltied grönen.,Das Gras der Nachbarn ist immer grüner.,
"Ik gläuv, Tom meent, datt ik datt denk.","Ich glaube, Tom meint, dass ich das denke.",
Ik wees bange to lat to wäsen.,Ich fürchtete zu spät zu sein.,
Ik wees bange to lat to wäsen.,Ich hatte Angst mich zu verspäten.,
Twe mal dörteihn is sössuntwintig.,Zwei mal dreizehn ist sechsundzwanzig.,
"Wiss kansst du datt nehmen, wenn du datt wullt.","Natürlich kannst du es nehmen, wenn du es willst.",
Datt is datt Gesett.,Das ist das Gesetz.,
"Ofschoonst Grööndunnersdag na ’t Gesett keene Fierdag is, gellt an düssen Dag na Paragraaf 10 von datt Fierdaaggesett in Baden-Württembarg en Dansverbaad.","Obwohl der Gründonnerstag kein gesetzlicher Feiertag ist, gilt an diesem Tag nach Paragraph 10 des Feiertagsgesetzes in Baden-Württemberg ein Tanzverbot.",
Kunnst du düsse Taschen in ’n Kuffers packen?,Kannst du diese Taschen in den Koffer packen?,
Woneem is Noorden?,Wo ist Norden?,
Ahn Woter unn nüms op de Welt läven.,Ohne Wasser könnte niemand auf der Erde leben.,
Frankriek het wat gägen Taters.,Frankreich hat etwas gegen Zigeuner.,
Gah in ’n Park.,Geh in den Park.,
Wat is di wichtig?,Was ist dir wichtig?,
Ik heff in miene Goorn en Peerschboom plant.,Ich habe in meinem Garten einen Pfirsichbaum gepflanzt.,
"Wettst du, waorüm as he nicht in ’e School wees?","Weißt du, warum er nicht in der Schule war?",
Du kunnst würklich tæmlich goods neihn.,Du kannst wirklich sehr gut nähen.,
Wannehr gest du em datt eerste Maol dropen?,Wann hast du ihn zum ersten Mal getroffen?,
Bünt du dood?,Bist du tot?,
Ik kan jo ich noog laven.,Ich kann euch nicht genug loben.,
Kümmst du to miene Fier?,Kommst du zu meiner Party?,
"Dor wören Schäper, de op jemehr Hood oppassen deden.","Da waren Schäfer, die auf ihre Herde aufpassten.",
Na ’t Lüchten keem datt Rummeln.,Nach dem Blitz kam der Donner.,
"Ik heff em dropen, as ik in Paris wees.","Ich habe ihn getroffen, als ich in Paris war.",
He dor! Höörst du mi?,Hallo! Hörst du mich?,
Mööt wi den Buss nehmen?,Müssen wir den Bus nehmen?,
De Tähndokter hätt mi miene fulen Tähn trocken.,Der Zahnarzt hat mir meinen schlechten Zahn gezogen.,
Se het nech veele Geld.,Sie hat nicht viel Geld.,
He smökt nicht.,Er raucht nicht.,
Toern Maandag is en Fierdag.,Der nächste Montag ist ein Feiertag.,
"So as de Amerikaner Baseball gern hebbt, hebbt de Briten Cricket giern.","So wie die Amerikaner Baseball mögen, mögen die Briten Cricket.",
Wo lange slöppt en Boor?,Wie lange schläft ein Bär?,
Wi doon datt jedet Joht.,Wir tun das jedes Jahr.,
In ’e Köök is en Katte.,In der Küche ist eine Katze.,
"He hätt sick anwennt, mit Butenlänners to snacken.","Er hat sich angewöhnt, mit Ausländern zu sprechen.",
"Mi dücht, wi schullt noch en halve Stünn töven.","Ich glaube, wir sollten noch eine halbe Stunde warten.",
Vandaag heff ik nigge Holschen kofft.,Heute habe ich neue Holzschuhe gekauft.,
He kan goods kaken.,Er kann gut kochen.,
Datt bruuk ik.,Das brauche ich.,
Waorüm sünd wi huer?,Warum sind wir hier?,
Huer is miene Telefoonnnummer.,Hier ist meine Telefonnummer.,
Se het een Söön un twe Döchter.,Sie hat einen Sohn und zwei Töchter.,
Büs du mit diene Arbeit trech?,Bist du mit deiner Arbeit fertig?,
Ik wees noch nien in Neeseeland.,Ich war niemals in Neuseeland.,
En Krokodiel hätt em datt Been afbeten.,Ein Krokodil hat ihm das Bein abgebissen.,
"Ik heff Lust, Hebrääsch to lihren.",Ich habe Lust Hebräisch zu lernen.,
Se unn ehr Ogen ich von em kregen.,Sie konnte ihre Augen nicht von ihm abwenden.,
Wat för en Swienkraam!,Was für eine Sauerei!,
He deed önnig jappen.,Er gähnte ausgiebig.,
"Ik mag em nech, aver ik mag ehr.","Ich mag ihn nicht, aber ich mag sie.",
Tom is teemlich swipp.,Tom ist sehr geschickt.,
Ik wull keene Fleesch.,Ich will kein Fleisch.,
Tom deed siene Fööt schrubben.,Tom schrubbte seine Füße.,
Se het een Dutz Eier kofft.,Sie kaufte ein Dutzend Eier.,
Uns Team hätt den Weddstried wunnen.,Unsere Mannschaft hat das Spiel gewonnen.,
"Ik kan mi nicht besinnst, woneem ik datt kofft heff.","Ich kann mich nicht erinnern, wo ich es gekauft habe.",
Neptun is de acht Planeet von datt Sünnsysteem.,Neptun ist der achte Planet des Sonnensystems.,
Ik bün in tein Minuten trügg.,Ich bin in zehn Minuten zurück.,
De Töög fohrt alle twe Stunnen.,Die Züge fahren alle zwei Stunden.,
"Sodraad se trügg is, roop ik jo an.","Sobald sie zurück sind, rufe ich euch an.",
Wannehr harrn se düssen Unfall?,Wann hatte sie diesen Unfall?,
Wi maakt jüst Plaans för de Feerne.,Wir machen gerade Pläne für die Ferien.,
"Ik bruuk een, de mi in ’n Arm nimmt un mi seggt, datt allen wedder goods warrn.","Ich brauche jemand, der mich in den Arm nimmt und mir sagt, dass alles wieder gut wird.",
Ik bün gröttern as he.,Ich bin größer als er.,
Ik arbeit huer. Ik bün keene Gast.,Ich arbeite hier. Ich bin kein Gast.,
Tom het ’n Halfbroder.,Tom hat einen Halbbruder.,
Düsse Schoklaad is unbannig sööt un lecker.,Diese Schokolade ist total süß und lecker.,
Wi mööt uns an datt Gesett hollen.,Wir müssen uns an das Gesetz halten.,
Tom hätt en Leeg övers Rias schräven.,Tom hat ein Lied über Maria geschrieben.,
Tom het sick al jümmerto vun’e anner Kinners ünnerscheeden.,Tom hat sich schon immer von den anderen Kindern unterschieden.,
Tom is up de Straat vüör de Kark doodschaten worrn.,Tom wurde auf der Straße vor der Kirche erschossen.,
Tom is up de Straat vüör de Kark doodschaten worrn.,Tom wurde auf der Straße vor der Kirche totgeschossen.,
Tom is ünnen.,Tom ist unten.,
En Lastwagen deed de Straat langsjagen.,Ein Lastwagen raste die Straße entlang.,
Ik bün jüst opstahn.,Ich bin gerade aufgestanden.,
Haal de Appelsienen ut ’n Köhlschapp.,Hole die Orangen aus dem Kühlschrank.,
Se seeg en Spökels un verfehr sick.,Sie sah ein Gespenst und erschrak.,
Se hebbt sick körtens freet.,Sie haben kürzlich geheiratet.,
Nööm mi Ismael.,Nenne mich Ismael.,
"Wat vertellst du mi opmaal von Nielpeer? Ik verstoh ich, wat de mit dien twölv Goldfisch to doot hebbt?",Wieso erzählst du mir plötzlich von Nilpferden? Ich sehe den Zusammenhang zwischen ihnen und deinen zwölf Goldfischen nicht.,
Bi mi tohuus brukt wi Margarien un keene Botter.,Bei mir zu Hause verwenden wir Margarine statt Butter.,
Ik lach mi dal.,Ich lach mich kaputt.,
Ik lach mi dal!,Ich lache mich kaputt!,
Nech alle Vogels köönt flegen.,Nicht alle Vögel können fliegen.,
Tom wull nicht mit di snacken.,Tom will nicht mit dir reden.,
Strengsnacken is siene Antwoord ich korrekt.,Genau genommen ist seine Antwort nicht zutreffend.,
"Du musst doot, wat ik segg.","Du musst tun, was ich sage.",
Tom keem vüör Mary an.,Tom kam vor Mary an.,
Welke Hoorfarv hätt Tom?,Welche Haarfarbe hat Tom?,
Se het em schreen hört.,Sie hat ihn schreien gehört.,
Se hätt em schreen hört.,Sie hat ihn schreien hören.,
Datt Schipp lööp op Grund.,Das Schiff lief auf Grund.,
Se sünd Frünn bleven.,Sie sind Freunde geblieben.,
"Gesetten sünd as Spinnweven, de lütten Flegen infangt, man Wöpschen un Peerhöörnken dörbreken lett.","Gesetze sind wie Spinnweben, die kleine Fliegen einfangen, aber Wespen und Hornissen durchbrechen lassen.",
Wat en grotten Junge he is!,Was er für ein großer Junge ist!,
Wat en grotten Jund he is!,Was für ein großer Junge er ist!,
Utsnackt ji mit mi?,Redet ihr mit mir?,
De Jugs sünd na Noorden gohn.,Die Jungen sind nach Norden gegangen.,
Ik wull noch en bäten toslapen!,Ich will noch ein bisschen schlafen!,
Woveel Bookstaven het datt Alphabeet?,Wie viele Buchstaben hat das Alphabet?,
Dor wees mal en groot Slott op den lütte Barg.,Es gab einmal ein großes Schloss auf dem kleinen Berg.,
Ik bün blau.,Ich bin betrunken.,
Ik bün blau.,Ich bin blau.,
De Bruud deed opmaal loospruuschen.,Die Braut lachte plötzlich.,
Ik seh allen dubbelte.,Ich sehe alles doppelt.,
Se künnt huer up se teuven.,Sie können hier auf sie warten.,
Lat mi nech alleen!,Lass mich nicht allein!,
Ik sliek mi in datt Huus.,Ich schleiche mich ins Haus.,
Du schullst mihr äten.,Du solltest mehr essen.,
He rööp üm Middernacht an.,Er rief um Mitternacht an.,
Anter.,Antworte!,
"Wat meenst du dor mit, datt du datt nicht wettst?","Was meinst du damit, dass du das nicht weißt?",
Ik söök na en Arbeidssteed.,Ich suche eine Arbeitsstelle.,
Ik söök na en Arbeidssteed.,Ich bin auf der Suche nach einer Arbeitsstelle.,
"Ik heff vergäten, em dorna to frogen.","Ich habe vergessen, ihn danach zu fragen.",
Tofällig funn he sien verloren Kamera wedder.,Zufällig fand er seine verlorene Kamera wieder.,
Elk Hahn kreiht op siene egen Mesthümpel.,Jeder Hahn kräht auf seinem eigenen Misthaufen.,
Woneem kan een Böker köpen?,Wo kann man Bücher kaufen?,
Uns Tuun is ut Iesen.,Unser Zaun ist aus Eisen.,
Nu sünd ji an ’e Reeg.,Jetzt seid ihr dran.,
St. Louis in Missouri is beropen för den Gateway Arch un de Anheuser-Busch-Broeree.,St. Louis in Missouri ist berühmt für den Gateway Arch und die Anheuser-Busch-Brauerei.,
Hört düsse Böker di to odder mi?,Gehören dir diese Bücher oder mir?,
Föhrst du mit ’n Buss na Tokyo?,Fährst du mit dem Bus nach Tokio?,
Se unn alltied op all Frogen antern.,Sie konnte immer auf alle Fragen antworten.,
Hess du enen Knall?,Hast du einen Knall?,
Wo faken musst du na ’n Tähndokter?,Wie oft musst du zum Zahnarzt?,
’keene hätt dissen Kauken backt?,Wer hat diesen Kuchen gebacken?,
De Köningin het datt Museum besökt.,Die Königin hat das Museum besucht.,
De Köningin hätt datt Museum besökt.,Die Königin besuchte das Museum.,
"„Meist veer Pund“, see Bob.","„Fast vier Pfund“, sagt Bob.",
De Meed is verdammt nochmaal to hoog.,Die Miete ist verdammt noch mal zu hoch.,
Ted speelt gern Trumpeet.,Ted spielt gerne Trompete.,
"Wenn datt ich wohr is, is datt doch goods utdacht.","Wenn das nicht wahr ist, ist es doch gut ausgedacht.",
Ik heff datt trechkregen.,Ich habe es fertig gebracht.,
Tom het dreedusend Yen in ’e Tasch.,Tom hat dreitausend Yen in der Tasche.,
He hätt ehr towunken.,Er hat ihr zugewinkt.,
"Se hebbt allerwegens op de Welt Filialen, von Kalkutta bet New York.","Sie haben überall auf der Welt Filialen, von Kalkutta bis New York.",
De Sommerfeern anfangt in ’n Juli an.,Die Sommerferien beginnen im Juli.,
"Kiek diene Katz to, dann liehrst du ehr kennen.","Beobachte deine Katze, dann wirst du sie kennen lernen.",
De Hund jagt de Katte üm’n Boom.,Der Hund jagt die Katze um den Baum.,
"Ik mag alle Films, bi de Juzo Itami Speelbaas is.","Ich mag alle Filme, bei denen Juzo Itami Regisseur ist.",
Ik heff mi heesch utsnackt.,Ich redete mich heiser.,
Leest düssen Satz nech.,Diesen Satz nicht lesen!,
"Köttens, as wi in’n Bookladen in Schottland woren, do freug miene Fru den jungen Verköper, of he vun’n bestimmten Kinnerbook en Utgoov up Gäälsch harrn.","Als wir kürzlich in einer Buchhandlung in Schottland waren, fragte meine Frau den jungen Verkäufer, ob er von einem bestimmten Kinderbuch eine Ausgabe auf Gälisch habe.",
De Weltruum is vull mit Radels.,Der Weltraum ist voller Rätsel.,
Waorüm gest du datt seggt?,Warum hast du das gesagt?,
"Miene Hund Wolfgang slöppt jümmerto neven mi op’e Bänk, wieldat ik mi mit’n Reekner befaten do.","Mein Hund Wolfgang schläft immer neben mir auf der Bank, während ich am Rechner arbeite.",
Ik schall nienich opgeven.,Ich werde niemals aufgeben.,
Du musst mihr arbeidt.,Du musst mehr arbeiten.,
Ik wull Ies natoeten.,Ich will Eis zum Nachtisch.,
Woneem is de Zoo?,Wo ist der Zoo?,
Ik will ik wees wedder junge.,"Ich wünschte, ich wäre wieder jung.",
He het noch wedder den Weddloop wunnen.,Er gewann erneut den Wettlauf.,
De Sozialistische Partei hätt man 18% von de Stimmen kriegen.,Die Sozialistische Partei hat nur 18% der Stimmen bekommen.,
Wat heff ik daan?,Was habe ich getan?,
Ik bün ook frömd huer.,Ich bin auch fremd hier.,
Wi sünd op de Kneen gohn un hebbt beedt.,Wir knieten uns hin und beteten.,
Snack luder. Diene Opa hört nicht mihr so goods.,Sprich lauter! Dein Opa hört nicht mehr so gut.,
Het he di wat seggt?,Hat er dir etwas gesagt?,
Datt Bild hängt scheev.,Das Bild hängt schief.,
Datt is tohoop utverköfft.,Es ist komplett ausverkauft.,
Datt hätt mi verblüfft.,Das hat mich verblüfft.,
Se driggt en düren Ring.,Sie trägt einen teuren Ring.,
"Wenn ik Tom seh, segg ik em, datt ji em socht hebbt.","Wenn ich Tom sehe, sage ich ihm, dass ihr ihn gesucht habt.",
Se het so smucke Ogen.,Sie hat so schöne Augen.,
De Slüters wüllt von Middernacht af an drie Daag lange striekt.,Die Gefängniswärter werden ab Mitternacht drei Tage lang streiken.,
Intressant.,Interessant.,
De Eerd dreiht sick üm de Sünn.,Die Erde umkreist die Sonne.,
Wat harrst du?,Was hattest du?,
Ik speel Sudoku un stöör di ich mihr.,"Ich werde also Sudoku spielen, anstatt dich weiter zu stören.",
De Luft is rut.,Die Luft ist raus.,
"Datt Kind lett, as wenn datt slöppt.",Das Kind scheint zu schlafen.,
Wo geit miene Söön datt?,Wie geht es meinem Sohn?,
Woneem hess du Chineesche lihrt?,Wo hast du Chinesisch gelernt?,
Böst du n Student?,Bist du Student?,
Speelst du mit mien Fööt?,Spielst du mit meinen Füßen?,
"Datt deed to lange duren, di to verkloren, waorüm as datt nech gohn deed.","Das würde zu lange dauern, dir zu erklären, warum das nicht funktionieren wird.",
Miene Nover hätt siene Huus kumplett reneveert.,Mein Nachbar hat sein Haus komplett renoviert.,
Na en Stoot keem he mit en Wöörbook ünner ’n Arm trügg.,Nach einer Weile kam er mit einem Wörterbuch unter dem Arm zurück.,
"Wenn de Katten pruust, warrn datt goods Wederk.","Wenn die Katzen niesen, wird das Wetter gut.",
Gest du keene Stimm in ’n anneren Ruum hört?,Hast du keine Stimme im Nebenraum gehört?,
Drie Bier un een Tequila harrn ik giern.,"Drei Bier und einen Tequila, bitte!",
Ik bruuk datt nicht mihr.,Ich brauche es nicht mehr.,
Ik bruuk datt ich mihr.,Ich brauche das nicht mehr.,
Datt is nix as en Löög!,Das ist nichts als eine Lüge!,
Wat wullt du gern doot?,Was würdest du gerne machen?,
Ik heff datt mit de Neren.,Ich habe etwas mit den Nieren.,
Ik swemm giern.,Ich schwimme gern.,
Mika het en poor Frünn in Florida.,Mike hat ein paar Freunde in Florida.,
Düsse is beters.,Dieses ist besser.,
Miene Hund tillert mit ’n Steert.,Mein Hund wedelt mit dem Schwanz.,
Dor dröff ik nix to seggen.,Da darf ich nichts zu sagen.,
