de_word,nds_var1,nds_var2,nds_var3,nds_var4,nds_var5
kleinen,lütten:14,lütte:1
unkraut,unkruud:3,unkrudd:1
taschentuch,snuuvdook:2,snuppdook:1
nass,natt:6,nat:1
gegessen,eten:47,äten:7
mittag,middag:17,meddag:1
ihrem,ehren:10,ehrn:1
erst,eerst:13,ierst:2
rot,rood:25,root:2
alkohol,alkohol:11,alkohool:4
gesprochen,snackt:28,utsnackt:1
glauben,glöven:9,löven:6
angeschaut,keken:3,ankeken:2
rat,raad:8,raat:1
bauer,buur:5,buer:4
gestrichen,streken:7,anstreken:2
lege,legg:7,leeg:1
wahrheit,wohrheid:36,wohrheit:15,wahrheit:2
verbrennen,verbrennen:2,verbrennt:2
schlüssel,slötel:29,slötels:14
beispiel,bispeel:6,bispell:1
zeig,wies:9,wis:1
anderes,anner:5,anners:4,anneres:1
stehe,stah:3,sta:1
japaner,japaners:8,japaner:5
früher,fröher:25,freuher:1
schwerer,sworer:5,swore:1
herausgefunden,rutfunnwn:1,utfunnen:1
passiert,passeert:13,passert:3
nähe,neegd:18,neeg:2
zweiten,tweten:5,tweeten:1,twete:1
gemälde,schilleraatsen:2,schilleraats:1
wohnen,wahnt:7,wohnt:3
schält,schellt:3,schellen:1
bekomme,krieg:4,krigg:1
weit,wied:33,wiet:2
singen,singen:19,süngen:1
studiert,studeert:6,studert:1
eher,ehr:1,mehr:1
konzert,kunzert:9,konzert:1
brief,breev:53,breef:13
seiner,sien:27,siene:5
halb,halv:10,half:2
mensch,minsch:12,minschen:1
autos,autos:14,auto:2
selbst,sülvs:32,sülvst:5,sülvens:2
knie,knee:7,kneen:4
spielen,spelen:43,speelen:2
geldbörse,portmaneet:2,portmanneet:1
amerikanische,amerikaansche:6,amerikaanschen:1
geschneit,sneet:4,sneen:1
genommen,nahmen:8,nohmen:1
sei,wees:17,weer:2
mindestens,opminnst:7,tominnst:3
kennengelernt,kennenlehrt:12,kennenlihrt:1
rein,rin:5,rein:1
getrunken,drunken:23,drinken:1
geworden,worrn:31,warrn:2
schwarzen,swarten:5,swarte:1
langen,langen:8,lange:1
alter,öller:21,öllern:1
ziemlich,temlich:33,teemlich:3,tæmlich:1
kalt,koold:32,koolt:5
kleiner,lütten:9,lütter:7,lütte:3
nachricht,naricht:18,noricht:2
eingeschlafen,toslapen:14,inslapen:1
zugeben,togeven:1,togäven:1
klar,kloar:1,kloor:1
fest,fast:9,fest:2
großen,groten:23,grotten:2,grote:1
schreiben,schrieven:35,schreven:2,schrievt:2
johann,johan:1,johann:1
wohl,woll:15,wol:1,wull:1
onkel,unkel:29,unkels:1
kirschen,karsbeer:1,karsbeern:1
scherze,jökelee:1,jökeleen:1
findet,finnt:4,findt:1
ball,ball:4,boll:1
kaninchen,knienken:6,kaninken:1,kniepen:1,kninken:1
holprig,hubbelig:2,rubbelig:1
große,grote:35,grott:1
schaut,kickt:7,kiekt:2
horrorfilme,horrorfilms:2,horrorfilme:1
dorf,dörp:24,dörpe:1
starke,dulle:2,dull:1
frühstück,fröhstück:16,freuhstück:2
kilometer,kilometer:3,kilometers:1
verheiratet,verheiraadt:11,verheirodt:1
wohnst,wahnst:7,wahns:1
lernst,lehrst:4,liehrst:1,lihrst:1
wagen,wagen:11,wogen:3
gelassen,laten:4,loten:1
kaffee,kaffe:57,kaffee:1
möchte,will:74,wull:6
stellen,stellen:7,steden:2,stellt:1
trinken,drinken:46,drinkt:13
bring,bring:7,breng:1
abkürzung,afkörten:2,afkört:1
selber,sülvs:5,sülvens:1
seit,siet:8,sied:1
angesehen,ankeken:1,bekeken:1,keken:1
egal,egaal:7,eengaal:1
schneit,sneet:11,sniet:1
versuche,versöök:4,verseuk:1
hintern,moors:3,oors:2,noors:1
schwestern,süstern:10,süsters:1
eingeklemmt,inklemmt:1,klemmt:1
sogar,sogoor:4,sogor:3
gestorben,doodbleven:21,dootbleven:1
fahrt,fohrt:5,föhrt:1
versteht,versteiht:10,verstaht:2
höre,höör:19,hör:4
verstanden,verstahn:14,verstohn:1
dichter,dichter:9,dichters:1
zuerst,toeerst:10,eerst:1
riecht,rückt:13,rükt:1
kontrolle,kuntrull:2,kuntroll:1
interessiert,intresseert:3,interesseert:2
guter,goden:24,gode:2
brot,brood:29,broot:2
briefkasten,breevkassen:2,breefkassen:1
leihen,lehnen:6,utlehnen:1
älteste,öllst:3,öllste:2
springen,springen:2,springt:1
professor,perfesser:5,professer:1
bekommt,kriggt:10,kriegt:2
wohne,wahn:19,wohn:1
beiden,beiden:8,beide:3
bedeutet,bedüüdt:12,bedüdt:3
nackt,naakd:7,naakt:1
vogel,vagel:22,vogel:2,vugel:1,vågel:1
echter,echten:1,rechten:1
erkältet,verköhlt:5,verkeuhlt:1
geben,geven:17,gäven:1
russland,russland:8,rußland:1
mähen,meihn:1,meiht:1
krankheit,krankheid:3,krankheit:1
bat,beed:4,deed:2
shampoo,shampoo:2,schampoo:1
spart,spoort:3,sport:1
ziehen,treckt:5,trecken:2
dürfen,dröfft:5,dröffen:1
umgebracht,ümbröcht:6,ümbrocht:3
tat,deed:4,dee:1
möchten,wüllt:2,wullt:1
glaubt,glöövt:4,löövt:4,glövt:3
langer,lange:6,langen:1
los,loos:16,los:2
geholfen,hulpen:9,holpen:4
repariert,repareert:1,repereert:1
politiker,politiker:1,politikers:1
nachmittag,namiddag:10,vonnamiddag:9
lag,leeg:9,leed:1
blieb,bleev:9,bliev:1
sterben,starven:11,starvt:2
lieb,leef:1,leif:1
person,persoon:7,person:1
klüger,klöker:8,kläuker:1
schlage,sla:4,slah:2
dinosaurier,dinosaurier:1,dinosauriers:1
hätten,harrn:5,harr:1
sollen,schullt:18,schöölt:9,schullen:1
ausgegeben,utgeven:3,utgäven:1
sprach,deed:3,seed:1
kurzen,korten:6,korte:4
langes,lang:3,lange:1
laufen,lopen:15,löpen:1
geregnet,regent:7,rägent:1
roman,romaan:18,roman:1
literatur,literatur:2,litteretur:1
lügen,legen:7,lögen:3
kurze,korte:3,kort:1
lebt,leevt:30,levt:2
bezahlt,betahlt:11,betohlt:1
schreibt,schrifft:15,schrieft:1
könig,könig:8,köning:3
neues,neet:25,nee:2
kennst,kennst:33,afkennst:1
putzen,reintomaken:4,reinmaken:1
deutschen,düütsche:2,düütsch:1,düütschen:1
bleibst,bliffst:8,blievst:1
vorfahren,vörfohr:1,vörfohren:1
größeren,gröttern:2,grötter:1
angezogen,antagen:6,antogen:6
sichtbaren,sichtbor:1,sichtbore:1
streiten,strieden:3,striedt:2
mittagessen,middageten:4,middagete:1,middagtied:1
hör,höör:11,hör:1
verlassen,verlaten:6,verloten:1
besprechen,besnacken:3,besnackt:1
gleiche,sülve:5,desülve:1
aller,all:2,alle:1
suchst,söchst:9,sochst:2
zeitungen,daagbläder:3,dagbläder:2
fön,föön:3,föhn:1
gefallen,fullen:17,gefullen:5,fallen:1
beginnt,fangt:8,anfangt:1
musiker,musikers:2,musiker:1
söhne,söhns:8,söhn:1
kälte,küll:3,külle:1
großmutter,grootmoder:5,grôtmoder:1
dänemark,däänmark:5,dænmark:1
blutet,blöddt:4,blödd:3
gesündigt,sünnigt:1,sünnt:1
schenken,schenken:2,schenkt:1
bauern,buurn:7,buur:3
siehst,süst:26,sühst:3
fühlte,föhlt:2,föhl:1
sollte,schull:25,schall:3
wort,woord:31,woort:6
gesundheit,gesundheid:2,sundheid:2,sundheit:1
flaschen,buddels:4,buddel:1,buddeln:1
kapitel,kapittel:1,kapittels:1
süße,söte:2,söten:1
freuen,frein:3,freit:2
gehirn,brägen:5,bregen:1
angegriffen,angrepen:5,angräpen:2
rauchen,smöken:24,smeuken:1
halte,holl:7,hool:1
schweizer,sweizers:1,swiezers:1
chance,changs:1,schangs:1
doppelte,dubbelt:1,dubbelte:1
hauptstadt,höövdstad:10,hööftstadt:1
reicher,rieke:1,rieker:1
armer,armen:3,arme:1
aufhören,ophören:4,opholen:1
italienische,italieensch:1,italieensche:1
rechte,rechte:2,rechten:1
freundlich,fründlich:4,fründlig:1
wunder,wunner:2,wunners:1
eröffnen,opmaken:1,optomaken:1
schwein,swien:7,swin:1
amerikanischen,amerikaansche:2,amerikaanschen:1
braucht,bruukt:19,brukt:3
waschen,waschen:2,wascht:1
freunden,frünnen:6,frünn:4
könntest,kannst:4,kunnst:1
planeten,planeten:4,planet:1
vorsichtig,vörsichtig:10,vörsicht:1
familie,famielje:15,familie:11
stiefel,steveln:3,stevel:1
willkommen,willkamen:7,willkommen:1
weihnachtsmann,wiehhachtsmann:1,wiehnachtsmann:1
hingegangen,hengahn:2,hengohn:1
nachnamen,achternaam:3,achternaams:1
freitags,freedaags:1,freedags:1
wolf,wulf:3,wulv:2
gutes,good:8,goods:2
bibliothek,bibliotheek:4,bibliothek:2
verdient,verdeent:11,verdeint:1
kultur,kultur:4,kultuur:1
verbringen,tobringen:1,verbringen:1
japanischen,japaansch:1,japaansche:1,japaanschen:1
eilig,hild:3,hill:1
richtig,richtig:10,düchtig:1
hundert,hunnerd:6,hunnert:4
erwarten,verwacht:3,verwachten:1
schmilzt,smült:3,smelt:1,smölt:1
spazieren,spazeren:4,spazieren:2
neu,nee:9,neet:1
schöner,smucken:2,smucker:1
auszukommen,dörtokamen:1,uttokamen:1
loswerden,loostowarrn:1,looswarrn:1
erhalten,kregen:6,kriegen:1
ferne,feern:3,feerne:1
nasse,natt:1,natte:1
schneller,gauer:4,gaue:1,gauen:1
salat,salaat:3,slaat:1
hohen,hogen:2,hoge:1
korb,korv:7,korf:1
untersuchen,ünnersöken:5,ünnerseuken:1
weiser,wiesen:2,wieser:1
hübsche,smucke:4,smuck:1
marias,ria:5,rias:2
sollst,schasst:3,schusst:2,schallst:1,schaßt:1
gedauert,duurt:4,duurn:1
verstehen,verstahn:16,verstaht:2,verstohn:1
korrigiert,verbetert:1,verbätert:1
versuchte,versöch:4,versöcht:4,versocht:1
vereinigten,verenigten:5,vereenigten:2,verenigte:1
krebs,kreeft:1,kreevt:1
geglaubt,löövt:2,glöövt:1
durst,döst:9,dörst:1
sanft,sacht:2,sachten:1
freue,frei:7,freu:2
lernt,lehrt:17,lihrt:1
allem,allen:5,allens:2
paket,pakeet:2,paket:1
zuletzt,tolest:3,toletzt:2
einzige,eenzige:5,eenzig:2,eenzigst:2
diät,diät:2,diäät:1
hoffnung,höpen:4,hopen:1
präsidenten,präsident:1,präsidenten:1
zeitschrift,tiedschrift:5,tietschrift:1
vergeben,vergeven:3,vergäven:1
verlieren,verleren:7,verlesen:1
auszuhalten,uttohollen:2,uttoholen:1
rohr,rohr:1,röhr:1
hübsches,smuck:3,smucke:1,smucket:1
vergleichen,verglieken:1,vergliekt:1
beigebracht,bibröcht:4,bibrocht:1
gefreut,freit:1,freut:1
tanzen,dansen:10,danzen:2
weibchen,seken:1,sekens:1
französische,fransche:6,franzöösche:2
forderte,feddern:1,feddert:1
runde,runn:1,runne:1
wolle,wull:4,will:1
bart,boord:4,boort:1
verschiedene,verscheden:1,verschedene:1,verschillen:1
wusch,wusch:2,wüsch:1
tausende,dusende:4,dusend:1
gebracht,brocht:1,bröcht:1
läufer,löper:1,löpers:1
einschlafen,toslapen:2,slapen:1
ort,oort:2,oord:1
müller,möller:2,müller:1
abschied,afscheed:1,afscheen:1
fünfzehn,föffteihn:8,fööfteihn:1
tiger,tieger:5,tiger:3,tiegers:1
adoptieren,antonehmen:2,annehmen:1
millionen,milljonen:2,milljoon:1
roten,roden:5,rode:2
glaubst,glöövst:3,löövst:2,gläuvst:1
graffiti,graffiti:1,graffitis:1
kartoffeln,kartuffeln:5,tuffeln:1
koran,koraan:1,koran:1
tagebuch,dagbook:4,daagbook:2
pult,pult:1,puult:1
frost,frost:2,fröst:1
bestellen,bestellt:2,bestellen:1
einverstanden,inverstahn:4,inverstohn:2
vertrauen,vertroon:4,vertroost:1,vertroot:1
schornstein,schorsteen:1,schosteen:1
fabrik,fabriek:1,fabrik:1
grillen,grillen:1,grillt:1
diamanten,demant:1,demanten:1
benimmt,beert:1,behrt:1
kunst,kunst:4,künst:1
halt,holl:5,hol:2
übersetze,översett:3,överrsett:1
besoffen,duune:3,duun:2
philosophen,filosoof:1,philosoof:1
gestanden,tostahn:2,stahn:1
dummes,dum:1,dumm:1
zurückkam,trüggkeem:2,trüggkamen:1
jäger,jäger:4,jägers:1
schließen,dichttomaken:3,dichtmaken:1
durstig,dörstig:2,döstig:1
regnet,regent:11,regen:1
junger,jungen:2,junge:1
aussprechen,utspreken:3,uttospreken:1
universität,universität:6,universitäät:1
locken,krüllen:1,krüllt:1
hing,hüng:2,hung:1
teller,tellers:3,teller:2
schwere,swoore:1,swore:1
maschinen,maschienen:2,maschien:1
brennt,brennt:5,brent:1
kulturen,kulturn:1,kultuurn:1
frühen,fröhe:1,fröhen:1
gebissen,beten:7,bäten:6
ukraine,ukraine:3,ukrain:1
studiere,studeer:1,studier:1
reiche,rieke:2,riek:1
leere,leddige:2,leddig:1
autoschlüssel,autoslötel:3,autoslötels:3
dicke,dicke:2,dick:1
kälter,köller:2,köler:1
englischlehrer,engelsch-lehrer:2,engelschlehrer:1
wartet,töövt:3,tövt:1
hitze,hitt:6,hiit:1,hitte:1
bekommst,afkriggst:1,kriggst:1
busfahrer,busfohrer:1,busfohrers:1
weinte,weent:3,ween:1
trifft,drippt:2,dröppt:1
portemonnaie,portmanneet:1,portmoneet:1
betrachtest,ankickst:1,kickst:1
bemerkt,markt:3,merkt:3
geliehen,lehnt:2,utlehnt:1
markus,marcus:1,markus:1
kanadier,kanadier:1,kanadiers:1
fischen,fisch:1,fischen:1
ufer,över:1,övers:1
gesperrt,sperrt:2,sparrt:1
zugeflüstert,toflüstert:1,totuustert:1
staubsauger,stoffsuger:2,stoffsugers:1
versprochen,versproken:4,verspraken:2
wolltest,wullst:2,wullt:1
schluck,kluck:1,sluck:1
berliner,berliner:2,berliners:1
grenzen,grenzen:2,grenzt:1
atombombe,atoombumm:2,atoombomb:1
frühstücken,fröhstücken:1,fröhstückt:1
verstand,verstand:2,verstünn:1
km,kilometer:1,kilometers:1
kurzer,korte:1,korten:1
goldmedaille,goldmedalje:1,goldmedallj:1
warmen,warme:4,warmen:2
blauen,blaue:1,blauen:1
bringen,bringen:3,bringt:1
küken,kükens:2,küken:1
französischen,fransch:1,franzöösch:1
russischen,russ'sche:2,russ'schen:1
dauernd,jümmer:2,jümmerto:1
gefüttert,fodert:1,fuddert:1
mark,mark:2,marks:1
sammeln,sammeln:3,sammelt:3
besseres,beter:1,beters:1
tabak,toback:1,tobak:1
jahrhundert,johrhunnerd:1,johrhunnert:1
gelben,gelen:2,gele:1
bleistifte,bleestickens:4,bleesticken:1
wölfe,wülv:2,wülf:1
zweite,twete:5,twede:2
neusten,ne'este:1,ne'esten:1
bibel,biebel:2,bibel:1
apotheke,avtheek:2,aftheek:1
schwierigkeiten,malesch:2,maleschen:1
anne,anne:3,ann:1
ärgern,argern:1,argert:1
ärztin,doktersch:1,doktersche:1
gedruckt,druckt:1,drückt:1
vergleichbare,vergliekbore:1,vergliekhbore:1
auszugehen,utgahn:1,uttogahn:1
schwaben,swaben:1,swaven:1
gelöst,lööst:2,löst:1
ausländer,butenlanners:2,butenlänners:2
angeschwollen,answullen:1,opswullen:1
hellste,hellst:1,hellste:1
wach,waak:2,waakt:1
norwegisch,noorweegsch:1,norweegsch:1
wurst,wuost:1,wust:1
tropfen,druppen:2,drüppen:2
priester,preester:1,preesters:1
löffel,löpel:2,löpels:1
kirschblüte,karsbeerblössen:1,karsbeerblööt:1
arten,oorden:1,soorten:1
wirft,smitt:2,smit:1
bedanke,bedank:1,bedanke:1
vorigen,vörgen:1,vörigen:1
tafel,tafel:1,tofel:1
übersetzer,översetter:2,översetten:1
raupe,rupp:1,ruup:1
kissen,küssen:3,küssens:1
bastard,baster:1,basterd:1
kometen,komeet:1,kometen:1
asteroiden,asteroid:1,asteroiden:1
schreckliche,gresig:1,gresige:1
hochdeutsch,hoogdüütsch:2,hoochdüütsch:1
geburtsdatum,geboortsdag:1,geboortsdatum:1
spanische,spaansch:1,spaansche:1
