rgn,ita,title
"“Mo sint!”, “Orca, però”,","”Ma senti!”, “Orca, però”",Rose
"ch’a m séra zcórd, mè, l’era di an,","che mi ero dimenticato, io, erano anni,",Rose
"“Stan zètta”,","“Sta’ zitta”,",Rose
"cmé un insógni l’è stè, a séra burdèl,","come un sogno è stato, ero bambino,",Rose
"pu gnént, l’è pas, un lèmp,","poi niente è passato, un lampo,",Rose
"tira pò sò, si ócc céus, gnenca l’udòur, piò gnént,","tira pur su, con gli occhi chiusi, neanche il profumo, più niente,",Rose
"“Alè, pataca, a m so furè”.","“Bravo coglione, mi sono punto”.",Rose
"a sérmi me Pasègg, u s’è vnú vòia d’andè a fè e’ bagn.","eravamo al Passeggio, c’è venuta voglia d’andare a fare il bagno.",Il bagno di notte
"a pedalémmi da zétt framèza i gréll, fintènt che un bòtal l’à travarsè la strèda ma la Lidia","pedalavamo zitti in mezzo ai grilli, finché un rospo ha attraversato la strada alla Lidia",Il bagno di notte
"A sémm pasa par la Tòrra, pu a Burdòuncia, e da ‘lè drétt fin Castelabèt, dvò ch’u n gn’era niseun.","Siamo passati per la Torre, poi a Bordonchio, a da lì dritto sino a Castellabate, dove non c’era nessuno.",Il bagno di notte
"l’aqua la era granda, lócida e nira cmè ch’e’ fóss catràm,","l’acqua era grande, lucida e nera come fosse catrame;",Il bagno di notte
"agli òndi al s’arugléva pièn, t’un susórr, e al s’arivéva tévdi fìna i pi.","le onde rotolavano piano, in un sussurro, e ci arrivavano tiepide fino ai piedi.",Il bagno di notte
"Dop a s sémm sparguiè tra i tamaréisgh e al béusi par spuiès,","Dopo ci siamo sparsi fra i tamerischi e le buche per spogliarci,",Il bagno di notte
"e l’è stè tott un córr,","ed è stato tutto un correre,",Il bagno di notte
"la pareva una mata,","pareva una matta,",Il bagno di notte
"la s’è pas te mèz e la n s’avdéva, ènca parchè la era senza ucèl,","c’è passata in mezzo e non ci vedeva, anche perché era senza occhiali,",Il bagno di notte
"mo u n gn’impurtéva gnent,","ma non le importava niente,",Il bagno di notte
"la è éintra tl’aqua t’una tempesta ad squézz,","è entrata nell’acqua in una tempesta di spruzzi,",Il bagno di notte
"mo a stémmi sempra alè,","ma stavamo sempre lì,",Il bagno di notte
"e li ormai la nudéva,","e lei ormai nuotava,",Il bagno di notte
"la jandéva fort,","andava forte,",Il bagno di notte
"lòu i è lè, che t si ndè lèt, l’è têrd, t’è smórt la luce,","loro sono lì, che sei andato a letto, è tardi, hai spento la luce,",I morti
"t si svégg, te schéur, u t vén ad chi pensir ch’i n s po’ déi, lòu i è sémpra alè, i t léz dròinta,","sei sveglio, nel buio, ti vengono certi pensieri che non si possono dire, loro sono sempre lì, ti leggono dentro,",I morti
"mo i è bón, i fa féinta da no èsi.","ma sono buoni, fanno finta di non esserci.",I morti
"E’ nóv ad lói, ‘na dmènga,","Il nove luglio, una domenica",Luglio
e i tnéva i sas sal chèrti pòsta ch’a n vuléss véa.,e tenevano i sassi sulle carte perché non volassero via.,Luglio
"mo da la cuntanteza l’à dè una bota se lègn che ti bicir e’ véin l’à tremè tótt,","ma dalla contentezza ha dato una botta sul legno che nei bicchieri il vino ha tremato tutto,",Luglio
e la zghéla se zris la è steda zétta ad bot da la paura.,e la cicala sul ciliegio ha taciuto di botto dalla paura.,Luglio
"I avrà vu quatórg an, léu quatórg, li dògg, trègg, me vièl dla Fosa, disdèi sl’éultum sedéili","Avranno avuto quattordici anni, lui quattordici, lei dodici, tredici, al viale della Fossa, seduti sull’ultima panchina",L’ultima panchina
Mat. l’è sémpra stè mat.,"Matto, è sempre stato matto.",I capelli
e’ pas drétt,passa dritto,I capelli
e u n saléuta niseun,e non saluta nessuno.,I capelli
U s’è pers ignacósa.,Tutto è finito.,
E ades cvânt ch’u n’i sra,E quando ormai non ci saranno,
"piò ste zil,","più questo cielo,",
alora a putren nench,allora non ci resterà che chiudere la porta,
metr e’ carnaz a l’os e fê cont d’gnént.,"e tirare il catenaccio, a tutto indifferenti.",
"Vujétar ch’a si sté còm ch’a sen nó,",Voi che siete stati come ora siamo noi,
"vó ch’a murì par sèmpar,","voi che morite per sempre,",
"d’là da la mura,","oltre il muro,",
ch’a vdi int un sòni,che in sogno,
"cal vôlt ch’a v’afarmivi int e’ cafè,",vi rivedete al caffè,
ch’a ciacarimi in piaza;,o quando eravamo insieme in piazza a chiacchierare;,
che pô ch’a sen ariv a dìs,quel poco che siamo riusciti a dirci,
ades a cve a-m l’arculd sól me.,adesso qui sono solo io a ricordarlo.,
"E pu u-s tucarà a nó,","Poi spetterà a noi,",
cvânt ch’a vniren int la ment,torneremo in mente,
"a on ch’u s’à cgnusù,","a qualcuno che ci ha conosciuto,",
"e e’ sra un pensier o un sòni,",e sarà un pensiero o un sogno,
E cvel ch’l’è ’ndê l’è ’ndê.,E quel che è andato è andato,
U s’abura: Ste frèd,Il tempo si rabbuia. Questo freddo,
u s’insteca int agli ös.,penetra nelle ossa.,
Int e’ cafè,Al caffè ci saranno,
u i sra chi cvàtar vec ch’i žuga a ‘l chêrt,"i soliti quattro vecchi che giocano a carte,",
e ch’i bacaja fórt.,e il solito vociare.,
“Stan nöt e’ giazêda.”,“Stanotte gela.”,
Dmatèna al scol al cricarà,Domattina le pozzanghere cricchieranno,
sota’al sôl.,sotto le suole.,
E’ zil cêr.,Il cielo chiaro.,
E’ camen dla Tarona e’ fumarà,Il camino della Tarona fumerà,
al s’arduš dnânz dal cundensêdi traz,spingono innanzi condensate tracce,Prende risalto il mare
d’nùval sustnènd la nöt,di cirri sorreggendo la notte,Prende risalto il mare
ment ch’la rimpiaza,mentre soppianta,Prende risalto il mare
l’arlušór de’ dè.,il chiarore del giorno.,Prende risalto il mare
"e pu a-n zérch gnânca piò, stramëž agli ònd",poi non cerco neppure fra le ondate,Prende risalto il mare
"dla burasca, un sintir ch’u-m scurta a e’ sren","della burrasca, un sentiero che scorti al sereno,",Prende risalto il mare
la-s scânsa a i mi pensier.,si scansa ai miei pensieri.,Prende risalto il mare
E mentar ch’a-n rinses a truvêm dentar,E mentre non riesco a scovare in me stesso,Prende risalto il mare
viguróši rašon par arcurdêmla,"incombenti ragioni di ricordo,",Prende risalto il mare
e’ ciàpa spech e’ mêr.,prende risalto il mare.,Prende risalto il mare
Sciröch,Scirocco,Prende risalto il mare
"E’ šlinês de’ tramont šlumbê, int e’ flei",L’illanguidirsi del tramonto torpido,Prende risalto il mare
dla caldâna infughida de’ sciröch,nel cocente alitare di scirocco,Prende risalto il mare
"ch’l’imbazucles al fôrz e me, igna môd,",che stordisce le forze e cui d’altronde,Prende risalto il mare
indulent a i dagh ment. Sóra la bærca,apatico acconsento. Sulla barca,Prende risalto il mare
indifarenta la stason e a me svuit,inane la stagione ed a me vuoto,Prende risalto il mare
e’ dešidéri ad salpêr e griv,il desiderio di salpare e greve,Prende risalto il mare
l’ardì intrigh de’ campè’,l’ ardito impaccio del vivere.,Prende risalto il mare
Un strâmbal armistizi,Uno strano armistizio,Prende risalto il mare
Areb chêra d’avé’ l’alšir d’cuntêt,Mi piacerebbe poterti narrare,Prende risalto il mare
"ste mi instichêm fra lòstar sâm ad mêr,",di questo inoltrarmi fra lucidi sciami di plancton,Prende risalto il mare
"ad cvel ch’a sö, ad toti j’incantament","di ciò che sono, degli abbagliamenti",Prende risalto il mare
"ch’i-m cuima dentar,","che mi colmano dentro,",Prende risalto il mare
de’ praciš mument,dell’istante,Prende risalto il mare
quand ch’i-s ražonž i dulfen,nel quale ci raggiungono i delfini,Prende risalto il mare
int la nöt indulenta.,nella notte indolente.,Prende risalto il mare
Scampiet scurt ad strinžura sòbit sota,Scarti che a stento percepisco sotto,Prende risalto il mare
e’ mašinê’ dla pruva,il dislocarsi della prua,Prende risalto il mare
e ch’i m’adórna,e m’adornano,Prende risalto il mare
d’un strâmbal armistizi cun me stes.,di uno strambo armistizio con me stesso.,Prende risalto il mare
Areb nench chêra d’êsar bon d’spieghê’,Mi piacerebbe saperti anche spiegare,Prende risalto il mare
ad cvel che pu u m’armasta,"che cosa poi m’avanza,",Prende risalto il mare
"d’ségvit a e’ su cumiêt,","in seguito al loro commiato,",Prende risalto il mare
ad ste mi vuluntêri cunfen,di questo mio volontario confino,Prende risalto il mare
da un švìdar ešèstar.,da un algido esistere.,Prende risalto il mare
A savreb cundividli,Saprei condividerle,Prende risalto il mare
T’a-m cuntitia de’ mêr,Mi narravi del mare,Prende risalto il mare
"cumpâgn a un paragon cun l’ešistenza,",come metafora dell’esistenza,Prende risalto il mare
"èn d’mêra cuntintèza,","anni di amara esultanza,",Prende risalto il mare
t’gitia pu.,dicevi poi.,Prende risalto il mare
E t’scuritia de’ temp,E inoltre dicevi del tempo,Prende risalto il mare
"e t’intindivta incóra, a crid, dla veita:",e credo intendessi ancora della vita:,Prende risalto il mare
e’ côr gonf ad paura.,spesso col cuore grosso di sgomento.,Prende risalto il mare
"T’a-m cuntitia quest, vëc,","Narravi questo, vecchio,",Prende risalto il mare
e a li pinséva fôli strufignêdi,"e le pensavo gualcite parabole,",Prende risalto il mare
impasì ariut int un,"vizze rivalse, in un",Prende risalto il mare
scòrar sfiadê.,parlare esausto.,Prende risalto il mare
"Mort, ades t’a-n mutiv, l’è pasa grân témp:","Morto, oggi taci, è accaduto tempo,",Prende risalto il mare
"e mo a sö me, cve, spöst a scartablê’",ed ora io sono qui a scartabellare,Prende risalto il mare
"fra ’l tu parôl int la mimôria, incùa","quelle parole nel ricordo, adesso",Prende risalto il mare
ch’a savreb cundividli.,che saprei condividerle.,Prende risalto il mare
"E spèc l’è sfazèd, l’è una spèa,","Lo specchio è sfacciato, è una spia",Lo specchio
u-t dói cla verità ch’l’a-t fa mèl,ti dice quella verità che ti fa male,Lo specchio
ad chi dè che t’a-n nè vòia,in quei giorni che non ne hai voglia,Lo specchio
"e te, par no dèi sodisfaziòun,","e tu, per non dargli soddisfazione,",Lo specchio
t’pas a chèul rét e t’a-n t zóir a guardèl.,passi indispettita e non ti giri a guardarlo.,Lo specchio
Ma u i è di dè che u-n t fa paéura;,Ma ci sono dei giorni che non ti fa paura;,Lo specchio
t’à l’affràunt faza faza,lo affronti faccia a faccia,Lo specchio
"e t’ste béin, t’a-t guèrd,","e stai bene, ti guardi,",Lo specchio
"si sàulch dal risédi,","coi solchi delle risate,",Lo specchio
"al somigliènzi si tu fiùl,","le somiglianze con i tuoi figli,",Lo specchio
e quel ch’ù-t pis ad piò,e quello che ti piace di più,Lo specchio
"l’è e tu sguèrd,","è il tuo sguardo,",Lo specchio
e tu sguèrd lébar.,il tuo sguardo libero.,Lo specchio
"Um dól agli osi, a sò straca d’aspitè,","Le mie ossa sono dolenti, sono stanca d’aspettare,",Lo specchio
"e pu, tót t’un bòt li m’um dól piò.","poi, tutto d’un tratto non lo sono più.",Lo specchio
"Adés, a sò a què incantèda,","Adesso, sono qui incantata,",Lo specchio
i guzlót salèd che i curòiva žò,le lacrime salate che scendevano giù,Lo specchio
"i sè fermi, per lasè e’ pòst ma quei dòulz.",si sono fermate per lasciare il posto a quelle dolci.,Lo specchio
"Si òc šgranèd, an gni pos cròid,","Con gli occhi sgranati, non ci posso credere,",Lo specchio
"L’è la fióla de mi fiôl,","E’ la figlia di mio figlio,",Lo specchio
"l’è nèda la mi anvòuda, a vrìa róg!","è nata mia nipote, vorrei gridare!",Lo specchio
Ò spurbiè che mi dè,"Ho rispolverato quel mio giorno,",Lo specchio
"acsè viv, acsè bel,","così vivo, così bello,",Lo specchio
Quand la mi cuntanteza,Quando questa mia felicità,Lo specchio
"la glia farà a scapè,","riuscirà ad uscire,",Lo specchio
"la farà un sòun liżir, grazièd,","farà un suono leggero, armonioso,",Lo specchio
Stavólta a vàgh!,Stavolta vado!,Lo specchio
"L’è quand t’cì a lè tra e vàird e sèch,","E’ quando sei ad un bivio,",Lo specchio
"che t’à ne sé’ se andè o arturnè,","che non sai se andare o tornare,",Lo specchio
"e basta un gnént,","basta un non nulla,",Lo specchio
"un’ ucèdà stórta,","un’occhiata storta,",Lo specchio
"un silenzi,","un silenzio,",Lo specchio
"una ziréda ad chèul tè lèt,","una posizione sbagliata a letto,",Lo specchio
e basta un gnént,basta un niente,Lo specchio
che us zènd un scròch,che si accende un tasto,Lo specchio
tàch,tach,Lo specchio
e quand l’è zàis u s’infiàma,e quando è acceso s’infiamma,Lo specchio
t’à ne po farmè.,non lo puoi fermare.,Lo specchio
"E pu basta, fa quest, fa stèlt, guasta, arfà,","Poi basta, fa questo, fa quello, guasta, rifà,",Lo specchio
"dè e nòta, sl’arlóz mé côl!","giorno e notte, con l’orologio al collo!",Lo specchio
per andè duvò?,per andare dove?,Lo specchio
"Da longh,","Lontano,",Lo specchio
l’è propri necesseri,è proprio necessario,Lo specchio
ad fè sempra un programa?,fare sempre un programma?,Lo specchio
stavólta a vàgh.,questa volta vado.,Lo specchio
"Quand la pgnata la bôl,","Quando la pentola bolle,",Lo specchio
"dai, dai, dai,","dai, dai, dai,",Lo specchio
ènca la baghèna la s-ciop.,anche la scrofa crepa.,Lo specchio
"Eh, duò t’andré?","Eh, dove andrai?",Lo specchio
piò dalonga pusébil,più lontano possibile,Lo specchio
alòngh l’è dalòng,lontano è lontano,Lo specchio
basta no tintinè tânt e,basta non esitare e,Lo specchio
tàch,"tach,",Lo specchio
"us va,","si va,",Lo specchio
Cmè nà!,Come no!,Lo specchio
"Oz us po,","Oggi si può,",Lo specchio
u j è scret ènca se giurnèl,"c’è scritto anche sul giornale,",Lo specchio
“e se un giorno all’improvviso,“e se un giorno all’improvviso,Lo specchio
e tàch,"e tàch,",Lo specchio
us va!,si va!,Lo specchio
E dop?,E dopo?,Lo specchio
"Dop, us’avdirà, intænt a fàz la valoisa","Dopo, si vedrà, intanto faccio una valigia",Lo specchio
"sénza programa, a pos fè quel ch’à voi","senza programma, posso fare",Lo specchio
e tàch,quelo che voglio e tach,Lo specchio
am fermi a Scurghèda!,mi fermo a Torriana!,Lo specchio
Mur,Muro,Lo specchio
"D’un chènt, sòtta un cartàun,","Da una parte, sotto un cartone,",Lo specchio
"la faza spigazéda,","il viso stropicciato,",Lo specchio
dò straz intacunèd.,due stracci imbrattati.,Lo specchio
senza piò,senza più,Lo specchio
"un bèus ad chèsa,","una casa,",Lo specchio
una famèja.,una famiglia.,Lo specchio
"La’j pas ad quà e ad là,","passa di qua e di la,",Lo specchio
"da zét,","in silenzio,",Lo specchio
"s’la preşìa,","con gran fretta,",Lo specchio
cmè che fóss,come foss,Lo specchio
un mèur da scavidè.,un muro da evitare.,Lo specchio
"Un mèur sl’intònac dèur,",Un muro con l’intonaco duro,Lo specchio
sa dròinta e côr ch’us squaia.,con dentro il cuore che si scioglie.,Lo specchio
A glj’è lìgri,Sono allegre,Lo specchio
"cmè giòstri per la fìra,","come giostre per la fiera,",Lo specchio
prè culuréd,prati colorati,Lo specchio
"pin ad cuscòin e bumbózz,","pieni di cuscini e pupazzi,",Lo specchio
smanèdi,disordinate,Lo specchio
sa tótt chi ẓàvaj sparguiè,con tutti quei giochi sparsi,Lo specchio
e fój tachéd sò,e fogli appesi,Lo specchio
sa famèj ch’a l róid,con famiglie che ridono,Lo specchio
mæna tla mêna,mano nella mano,Lo specchio
e da t’fùra,e da fuori,Lo specchio
quand l’è i pràim frédd,nei primi giorni freddi,Lo specchio
t’à gl’j arcnòs,le riconosci,Lo specchio
da chi sèul ch’i reid,da quei soli che ridono,Lo specchio
t’ì vàidar apanéd.,nei vetri appannati.,Lo specchio
Un fiàur sidbàdgh ch’lè crisèu da par lèu lònga e’ fòs fora dal straedi sânza l’amaùr ad nisèun l’è fiuròi sa tótt la su belèzza,Un fiore selvatico che è cresciuto solo lungo il fosso fuori dalle strade senza l’amore di nessuno è fiorito con tutta la sua bellezza,Fuori dalle strade
"e u s n’è andè ad setèmbar da par lèu tla porbia,","e se n’è andato a settembre da solo nella polvere,",Fuori dalle strade
rapè sò,arrampicarsi,Senza voltarsi indietro
duò ch’la s fa dèura,dove si fa dura,Senza voltarsi indietro
ṣgrafigné la ròcia per pasè adlà,graffiare la roccia per passare aldilà,Senza voltarsi indietro
senza vultès indrì,senza voltarsi indietro,Senza voltarsi indietro
"sènza dè da cnòss mi fiül,","senza far capire ai figli,",Senza voltarsi indietro
lujlt j à la vèita davanti.,loro hanno la vita davanti.,Senza voltarsi indietro
T’pàs e’ pàn se spèc ùmbrèd,Passi il panno sullo specchio appannato,E poi un giorno
e tvàid tôtt cèr.,e vedi tutto chiaro.,E poi un giorno
"e al fa dal żirovaghi, di richèm ch’l’è un spetècal.","e fanno delle giravolte, dei ricami che è uno spettacolo.",Le poesie più belle
Dispitàuṣi!,Dispettose!,Le poesie più belle
"Quant t’sté sò de lèt e t’zìrch un fòj una pènna, al sparés!","Quando ti alzi dal letto cerchi un foglio una penna, spariscono!",Le poesie più belle
"L’è quant t’cì a lè stra e’ vird e e’ sècch, che ta ne sé se andæ o arturnê, e’ basta un gnènt,","È quando sei lì fra il verde e il secco, che non sai se andare o tornare, basta poco,",Questa volta vado!
"un’ucéda stórta,","un’occhiata storta,",Questa volta vado!
"una żiréda ad chèul te lèt,","una girata di sedere nel letto,",Questa volta vado!
e’ basta un gnint che u s zènd un scròch,basta poco che si accende un bottone,Questa volta vado!
tàcch,tac,Questa volta vado!
e quând l’è zais u s’infiàma ta ne pò farmè.,quando è acceso s’infiamma non lo puoi fermare.,Questa volta vado!
"E pu basta, fa quèst, fa stèlt, guasta, arfa, dè e nöta, sl’arlóżż me’ côl!","E poi basta, fa questo, fa quest’altro, guasta, rifà, giorno e notte, con l’orologio al collo!",Questa volta vado!
"A farébb la valoisa per andê, per andë duvò?","Farei la valigia per andare, per andare dove?",Questa volta vado!
"U j amènca e ’su Quinto,","Le manca il suo Quinto,",Il centro sociale
e lìa da par sé a fè nota l’è gnàra!,e lei da sola a fare notte è dura!,Il centro sociale
Me céntri socièl invici la sta in cumpagnia,Al centro sociale invece sta in compagnia,Il centro sociale
la màgna e la bàj.,mangia e beve.,Il centro sociale
L’è andèda ênca a scöla ‘d bàl.,È andata anche a scuola di ballo.,Il centro sociale
La bàla? ‒ Ostà s’la bàla!,Balla? – Caspita se balla!,Il centro sociale
"Nò da par lì, sa Pasquèl che e’ bàla béin","Non da sola, con Pasquale che balla bene",Il centro sociale
enca lèu l’è vèdvi.,anche lui è vedovo.,Il centro sociale
lèu e’ sarébb stè cuntént d’avdàila a fè un valzèr ènca se ma lèu la n gn’à mai détt che u j piaṣèva ad balè!,lui sarebbe stato contento di vederla fare un valzer anche se a lui non ha mai detto che le piaceva ballare!,Il centro sociale
"èmm spavantèd i gażótt sla sfròmbla,","abbiamo spaventato gli uccelli con la fionda,",Senza niente
"èmm fât saltè i sas sòura l’acva,","abbiamo fatto saltare i sassi sull’acqua,",Senza niente
"èmm tiràt i ruchétt ṣvóit dalonga cmè tròtli,","abbiamo tirato rocchetti vuoti lontano come trottole,",Senza niente
"èmm fât mièra ‘d sélt s’una corda ad straz,","abbiamo fatto migliaia di salti con una corda di straccio,",Senza niente
"èmm pàs sal lózzlì al nòti piò nìri,","abbiamo passato con le lucciole le notti più nere,",Senza niente
"èmm fât e’ mond senza gnént, che gnént che j ócc incantèd di burdéll i brèma.","abbiamo fatto di tutto senza niente, quel niente che gli occhi incantati dei bambini cercano disperatamente.",Senza niente
"U j è e’ silénzi dal còṣi non détti che e’ schèva i sòichi de rimórs cmè un teràl ch’e’ lavàura senza sosta, dròinta.","C’è il silenzio delle cose non dette che scava i solchi del rimorso come un tarlo che lavora senza sosta, dentro.",Silenzio
U j è e’ silénzi ciacarèd che u s’astròza sal paroli urlédi.,C’è il silenzio chiacchierato che si strozza con le parole urlate.,Silenzio
U j è e’ silenzi ch’u t fa pavura ch’u t ciapeva t’un bòt e u t làsa sënza fiè.,C’è il silenzio che ti fa paura che ti prende all’improvviso e ti lascia senza fiato.,Silenzio
"Um pis andè, igna tænt, int un sid,","Mi piace andare, ogni tanto, in un posto",Camposanto
mo un s lamenta nisun.,ma non si lamenta nessuno.,Camposanto
"Un sid pin ad pæsa,",Un luogo pieno di pace,Camposanto
ch’u m fa stê ben.,che mi fa star bene.,Camposanto
E’ sràl acsé énca dopo?,Sarà così anche dopo?,Camposanto
Quand im dis,Quando mi dicono,Morte di un ciclista
"a prôv un cert dispiasei,","provo un certo dispiacere,",Morte di un ciclista
"che possa ës zuzëst un quél accè,",che possa essere successa una cosa del genere,Morte di un ciclista
e u m ven da pansè’ a chi mument,e mi viene da pensare ai momenti,Morte di un ciclista
pasé cun lo,passati con lui,Morte di un ciclista
e che all'impruvisa...,e che all’improvviso,Morte di un ciclista
