rgn,ita,title,author,poem_id
t’an vu staché la spena,non vuoi staccare la spina,Donna d'altri tempi (alla mamma),amici,amici__1
e incora patimint!,e ancora patimenti!,Donna d'altri tempi (alla mamma),amici,amici__1
Ogni de’ ch’pasa,Ogni giorno che passa,La mano armata,amici,amici__2
u i n’è sèmpar ona dal nòvi:,ce n’è sempre una nuova:,La mano armata,amici,amici__2
"A t’voi ben, t’ci la mi vita,","Ti voglio bene, sei la mia vita,",La mano armata,amici,amici__2
t’è da stê’ sèmpar cun me.,devi stare sempre con me.,La mano armata,amici,amici__2
Cma farebia senza te?,Come farei senza di te?,La mano armata,amici,amici__2
Cma faresat senza me?,come faresti senza di me?,La mano armata,amici,amici__2
E a l’impruviša la men la s’êlza,E all’improvviso la mano si alza,La mano armata,amici,amici__2
l’è un’êrma ad môrta.,è un’arma di morte.,La mano armata,amici,amici__2
E e’ su amor l’è stëš par tëra,E il suo amore è steso a terra,La mano armata,amici,amici__2
int una poza ad sângv.,in una pozza di sangue.,La mano armata,amici,amici__2
E il cièma… amór!,E lo chiamano … amore.,La mano armata,amici,amici__2
Mi fiôl l’è pröpi e mi,Mio figlio è proprio il mio,I figli,baccarini,baccarini__0
parché a j’ho dê l’ânma,perché gli ho dato l’anima,I figli,baccarini,baccarini__0
e’ côr e tot l’amór,il cuore e tutto l’amore,I figli,baccarini,baccarini__0
ch’e’ pö avé dentr’un bab,che può aver dentro un padre.,I figli,baccarini,baccarini__0
"Mo nenca s’ l’è e’ mi, u n’è e’ mi","Anche se è il mio, non è il mio",I figli,baccarini,baccarini__0
"parchè a pêrt crèsal, parparêi la ​strê",perché a parte crescerlo e preparargli la strada,I figli,baccarini,baccarini__0
dêj di cunsèi parchè u n fëga di šbëli,dargli consigli perché non faccia errori,I figli,baccarini,baccarini__0
"lò l’è lò e e’ su temp, l’è e’ su temp","lui è lui e il suo tempo, è il suo tempo",I figli,baccarini,baccarini__0
la su vita l’è la sòva e la su strê,"la sua vita è la sua, e la sua strada",I figli,baccarini,baccarini__0
l’è la su strê,è la sua strada,I figli,baccarini,baccarini__0
e me a pös sól stê’ a guardêl!,ed io posso solo restare a guardare,I figli,baccarini,baccarini__0
parchè a n sò bon d ‘lasêt,Perché non sono capace di lasciarti,La corda,baccarini,baccarini__1
andê veja da l a mi tësta,andar via dalla mia testa,La corda,baccarini,baccarini__1
e acsè nenca te da la tu…,"e così tu, dalla tua…",La corda,baccarini,baccarini__1
parchè e’ tu pinsir u m’acumpâgna e l’armësta,perché il tuo pensiero mi accompagna e rimane,La corda,baccarini,baccarini__1
parchè sta côrda che la m liga a te,perché sta corda che mi lega a te,La corda,baccarini,baccarini__1
la m ten imparšunê,mi tiene imprigionato,La corda,baccarini,baccarini__1
e un pô a la vôlta la m’impèca.,e un po’ alla volta mi impicca.,La corda,baccarini,baccarini__1
Cumpâgn a l’acva int e’ fiom,Come l’acqua nel fiume,Corrente,baccarini,baccarini__2
ch’la pasa žo e la n pö arturnê a la suržent,Che passa giù e non può tornare alla sorgente,Corrente,baccarini,baccarini__2
acsè un dè t a t’n’adé che insen cun l’acva,Così un giorno ti accorgi che insieme all’acqua,Corrente,baccarini,baccarini__2
e’ sta pasènd la tu vita…,sta passando la tua vita,Corrente,baccarini,baccarini__2
e alóra t’at bot žo a tësta basa,e allora ti butti giù a testa bassa,Corrente,baccarini,baccarini__2
par zarchê d realizê i tu pruget,per cercar di realizzare i tuoi progetti,Corrente,baccarini,baccarini__2
prèma che e’ seja tröp têrd…,prima che sia troppo tardi,Corrente,baccarini,baccarini__2
e dal vôlt l’è tröp têrd!,e delle volte è troppo tardi!,Corrente,baccarini,baccarini__2
Šghitê,Zigzagare,Corrente,baccarini,baccarini__2
A j’ò campê šghinlènd veja da i pinsir,Ho vissuto sfuggedo via dai pensieri,Corrente,baccarini,baccarini__2
curènd int la fadiga,correndo nella fatica,Corrente,baccarini,baccarini__2
e int la fadiga i pinsir i n’um zarchéva,e nella fatica i pensieri non mi cercavano,Corrente,baccarini,baccarini__2
i n truvéva e’ pöst e e’ temp par instichês…,non trovavano il posto per infilarsi…,Corrente,baccarini,baccarini__2
E pu l’ariva e’ dè che t’ fines d còrar e ta t’afirum.,E poi arriva il giorno che finisci di correre e ti fermi.,Corrente,baccarini,baccarini__2
I pinsir i m’ha truvê e a n s’éra pront…,I pensieri mi hanno trovato e non ero pronto…,Corrente,baccarini,baccarini__2
A n s’éra pront mo adës,Non ero pronto ma adesso,Corrente,baccarini,baccarini__2
u m toca d guardêj int la faza,mi tocca di guardarli in faccia,Corrente,baccarini,baccarini__2
"I m’è chéuer dri rugénd, e mè a n capéva","Mi sono corsi dietro urlando, e io non capivo,",La corsa,baldini,baldini__0
"a n so s’i avéss la s-ciòpa, mo i curtéll, ò vést al lèmi léus sòtta i lampiéun.","non so se avessero il fucile, ma i coltelli, ho visto le lame luccicare sotto i lampioni.",La corsa,baldini,baldini__0
"Andéva cmè un chèn brach e lòu tótt dri,","Andavo come un bracco e loro tutti dietro,",La corsa,baldini,baldini__0
"ò travarsè la piaza,","ho attraversato la piazza,",La corsa,baldini,baldini__0
"pu a m so bótt te Baròun,","poi mi sono buttato nel Baròun,",La corsa,baldini,baldini__0
"mo dop la pòumpa a so tòuran pr’e’ Ciód e a m so infilé ti pórtich fina Tiglio dal smanzài,","ma dopo la fontanella sono tornato per il Ciód e mi sono infilato sotto i portici fino ad Attilio delle granaglie,",La corsa,baldini,baldini__0
"ò imbòcch e’ lavadéur, ò pas la Méura,","ho imboccato il lavatoio, ho passato la Mura,",La corsa,baldini,baldini__0
"da la Zóppa a so vnù so ma la Costa, pu tla Bósca,","dalla Zóppa sono venuto giù alla Costa, poi nella Bosca,",La corsa,baldini,baldini__0
"a so sèlt dréinta un curtéil, ò fat du rèm ad schèli,","sono saltato dentro un cortile, ho fatto due rami di scale,",La corsa,baldini,baldini__0
"a so vnù fura vsina la Messèni,","sono venuto fuori vicino alla Massani,",La corsa,baldini,baldini__0
"a so chéurs vérs la Roca,","sono corso verso la Rocca,",La corsa,baldini,baldini__0
"me crusèri ò ciap d’inzò vérs e’ Pòzz Lòngh,","all’incrocio ho preso in giù verso il Pozzo Lungo,",La corsa,baldini,baldini__0
"e ò vést davènti mè tri quatar ch’i curéva e i s guardéva di dri, i m guardéa mu mè.","e ho visto davanti a me tre o quattro che correvano e guardavano indietro, mi guardavano a me.",La corsa,baldini,baldini__0
"Te préim a n’ò capéi, a i vléa di quèl,","Sul momento non ho capito, volevo dire qualcosa,",La corsa,baldini,baldini__0
"mo a n mu n so tróv la vòusa, a n’arivéva a ‘rscód e’ fiè.","ma non mi sono trovato la voce, non arrivavo a tirare il fiato.",La corsa,baldini,baldini__0
"Però mè u m pèr ch’i séa quéi ‘d préima, quéi ch’i m déva dri mu mè,","Però a me mi pare che siano quelli di prima, quelli che inseguivano me,",La corsa,baldini,baldini__0
"éune’ va un puchìn zòp, un èlt l’à un brètt ch’a m l’arcórd,","uno va un pochino zoppo, un altro ha un berretto che me lo ricordo,",La corsa,baldini,baldini__0
"mo i córr véa, i n sta a sintéi,","ma corrono via, non stanno a sentire,",La corsa,baldini,baldini__0
"e’ pèr ch’i apa paéura, e mè a i dagh dri,","pare che abbiano paura, e io li inseguo,",La corsa,baldini,baldini__0
"ò paéura ènca mè, mo cm’òi da fè?","ho paura anch’io, ma come devo fare?",La corsa,baldini,baldini__0
"a m putrébb farmè què, e se pua m sbai?","potrei fermarmi, e se poi mi sbaglio?",La corsa,baldini,baldini__0
s’a m férm e quéi di dri i m’è madòs?,se mi fermo e quelli dietro mi sono addosso?,La corsa,baldini,baldini__0
"E pu basta, a m so stóff,","E poi basta, mi sono stufato,",Basta!,baldini,baldini__1
"l’è tótt i dè cumpàgn, u n s nu n po’ piò.","è tutti i giorni uguale, non se ne può più.",Basta!,baldini,baldini__1
A m ví fè crèss i bafi!,Mi voglio far crescere i baffi!,Basta!,baldini,baldini__1
"Che pu u m suzéd da rèd, e u n sint niseun, tla cambra schéura, ad sòtta, tra i pan spórch, a céud la pórta, e a rógg.","Che poi mi succede di rado, e non sente nessuno, nella camera cieca, di sotto, tra i panni sporchi, chiudo la porta, e urlo.",La camera cieca,baldini,baldini__2
Dop a stagh mèi.,Dopo sto meglio.,La camera cieca,baldini,baldini__2
Parchè a stagh zétt?,Perché sto zitto?,Suo padre,baldini,baldini__3
"t vu ch’a n’e’ vègga che e’ mi Driano u s’ asarméa mi Panartéun? ch’ l’è Ferruccio spudéd, zò, ch’ l’è e’ su fiùl?","vuoi che non veda che il mio Adriano somiglia ai Panartéun? che è Ferruccio sputato, dai, che è suo figlio?",Suo padre,baldini,baldini__3
e alòura cs’òi da fè?,e allora cosa devo fare?,Suo padre,baldini,baldini__3
"amazè la su mà, ch’ la à quarentòt an e ch’i i è ‘ndè tla testa,","ammazzare sua madre, che ha quarantotto anni e le sono andati in testa,",Suo padre,baldini,baldini__3
"e la nòta la n dórma,","e la notte non dorme,",Suo padre,baldini,baldini__3
"e’ dè u i vén i caldéun, la s zcórda al robi,","il giorno le vengono le caldane, si dimentica le cose,",Suo padre,baldini,baldini__3
"la piànz par gnént, cs’èll, a la ciap pr’e’ còl,","piange per niente, cosa faccio, la prendo per il collo,",Suo padre,baldini,baldini__3
"a rógg, a i déggh ch’ la è stèda una putèna?","urlo, le dico che è stata una puttana?",Suo padre,baldini,baldini__3
e mè? cs’èll ch’a so stè?,e io? cosa sono stato?,Suo padre,baldini,baldini__3
E dop a i e’ déggh ènca ma Driano?,E dopo lo dico anche ad Adriano?,Suo padre,baldini,baldini__3
"e cmè ch’a i déggh? che l’è e’ mi fiùl, però mè a n so e’ su bà?","e come gli dico? che è mio figlio, però io non sono suo padre?",Suo padre,baldini,baldini__3
mo léu csa i éintral?,ma lui cosa c’entra?,Suo padre,baldini,baldini__3
"ch’u m vó un bén che mai,","che mi vuole un bene,",Suo padre,baldini,baldini__3
"u s cunféida, u m dí tótt,","si confida, mi dice tutto,",Suo padre,baldini,baldini__3
"pu l’è ligar, l’à vòia ‘d lavurè,","poi è allegro, ha voglia di lavorare,",Suo padre,baldini,baldini__3
"l’è piò ligar ch’ né mè, e mènch zucòun, mènch parmalòus,","è più allegro di me, e meno testone, meno permaloso,",Suo padre,baldini,baldini__3
"l’è par quèll che i su améigh i i vó bén tótt, e ènca se lavòur,","è per questo che i suoi amici gli vogliono tutti bene, e anche sul lavoro,",Suo padre,baldini,baldini__3
"mo cum s fal no vlí bén me mi Driano, sa chi ócc ch’u n m’à mai détt una buséa,","ma come si fa a non voler bene al mio Adriano, con quegli occhi che non m’ha mai detto una bugia,",Suo padre,baldini,baldini__3
"però mégga indurmént, al robi u li capéss, e’ fa di zchéurs ch’a n’i faz gnénca mè ch’a so e’ su bà.","però mica addormentato, le cose le capisce, fa dei discorsi che non li faccio nemmeno io che sono suo padre.",Suo padre,baldini,baldini__3
"Mètt ch’e’ vénga la féin de mònd, admèn, pasdmèn, e a murémm tótt,","Metti che venga la fine del mondo, domani, dopodomani, e moriamo tutti,",Metti,baldini,baldini__4
"mètt che la tèra la s’infràida, la s sfrangla, ch’ la s’ardéusa un purbiòun, ch’ la pérda tl’aria, e la léuna l’istèss,","metti che la terra s’infradici, si sbricioli, che si riduca un polverone, che si perda nell’aria, e la luna lo stesso,",Metti,baldini,baldini__4
"u s smórta e’ sòul, al stèli,","si spegne il sole, le stelle,",Metti,baldini,baldini__4
"e’ vén un schéur,","viene un buio,",Metti,baldini,baldini__4
"u n gn’è piò gnént, e at tótt che schéur e’ témpl’andrà ancòura avènti?","non c’è più niente, e in tutto quel buio il tempo andrà ancora avanti?",Metti,baldini,baldini__4
da par léu?,da solo?,Metti,baldini,baldini__4
E do ch’ l’andrà?,e dove andrà?,Metti,baldini,baldini__4
"La tòurna d’ogni tènt, par la su mà,","Torna ogni tanto, per sua madre,",Bella,baldini,baldini__5
"la sta póch, du tri dè, la n scapa mai,","sta poco, due tre giorni, non esce mai,",Bella,baldini,baldini__5
mè pu a so sèmpra fura.,io poi sono sempre fuori.,Bella,baldini,baldini__5
"A la ò incòuntra par chès, tla farmacéa,","L’ho incontrata per caso, in farmacia,",Bella,baldini,baldini__5
"«Mo da quant’èll ch’a n s’avdémm?»,","«Ma quant’è che non ci vediamo?»,",Bella,baldini,baldini__5
"la m’è pèrsa piò znina,","mi è sembrata più piccola,",Bella,baldini,baldini__5
"«T’è i cavéll chéurt», ch’ la i éva lóngh, sal spali,","«Hai i capelli corti», che li aveva lunghi, sulle spalle,",Bella,baldini,baldini__5
la à céus i ócc: «Ta t’arcórd di mi cavéll?».,ha chiuso gli occhi: «Ti ricordi dei miei capelli?».,Bella,baldini,baldini__5
Vinicio u i éva fat una pasiòun.,Vinicio ci aveva fatto una passione.,Bella,baldini,baldini__5
E li gnént. Sa chi ócc véird e e’ maiòun zal.,E lei niente. Con quegli occhi verdi e il maglione giallo.,Bella,baldini,baldini__5
"U i era ènca andè dri Lele Guarnieri,","Le aveva fatto la corte anche Lele Guarnieri,",Bella,baldini,baldini__5
e la dmènga l’avnéva da Ceséina a balè un biònd s’una Giulietta sprint.,e la domenica veniva da Cesena a ballare un biondo con una Giulietta sprint.,Bella,baldini,baldini__5
"Mè, la era tròpa bèla, a n m’arisghéva.","Io, era troppo bella, non m’arrischiavo.",Bella,baldini,baldini__5
"Dop a la ò cumpagnèda fina chèsa,","Dopo l’ho accompagnata fino a casa,",Bella,baldini,baldini__5
"la à vért, ò détt: «Cs’èll ch’avrébb paghè ‘lòura par no purtè i ucèl!»,","ha aperto, ho detto: «Cosa avrei pagato allora per non portare gli occhiali!»,",Bella,baldini,baldini__5
"la à ridéu: «A s’avdémm fr’agli èlt vint’an»,","ha riso: «Ci vediamo fra altri vent’anni»,",Bella,baldini,baldini__5
"pu da e’ purtòun custèd, préima da céud, la m’à guèrs: «Ta m piasévi»,","poi dal portone accostato, prima di chiudere, m’ha guardato: «Mi piacevi»,",Bella,baldini,baldini__5
"senza réid, «Quanti nòti a t ‘ò insugné!».","senza ridere, «quante notti t’ho sognato!».",Bella,baldini,baldini__5
"E par la strèda u s’è nuvlé, a San Bèrtal!","E per la strada s’è annuvolato, a San Bartolo",Bagnato,baldini,baldini__6
"L’à tach a pióv, pedèla po’,","Ha cominciato a piovere, pedala pure,",Bagnato,baldini,baldini__6
"i calzéun, ch’a n gn’éva péns, sl’untómm, ma la cadéina, a m séra sasiné,","i calzoni, che non ci avevo pensato, con l’unto, alla catena, mi ero rovinato,",Bagnato,baldini,baldini__6
"e mòl pléin, i cavéll, a la sintéva culè zò ma la còppa, e la caméisa sla pèla, giaza,","e mollo fradicio, i capelli, la sentivo colar giù alla nuca, e la camicia sulla pelle, ghiaccia,",Bagnato,baldini,baldini__6
"me Pòzz Lòngh a so smòunt, andéva so a testa basa, agrapèd me manubrio, tra ‘l piscòlli, e una mèlta,","al Pozzo Lungo sono sceso, andavo su a testa bassa, aggrappato al manubrio, tra le pozzanghere, e un fango,",Bagnato,baldini,baldini__6
mo butèi un pó ‘d brèssa d’ogni tènt!,ma buttateci un po’ di ghiaia ogni tanto!,Bagnato,baldini,baldini__6
"a biastméva, ò alzè i ócc, e ò vést se grèpp dla Nina ad Scòcia, sòtta l’acqua, al stèva alè arguglèdi, dal pigri, tl’érba, férmi, cmè di sas.","bestemmiavo, ho alzato gli occhi, e ho visto sul greppo della Nina di Scòcia, sotto l’acqua, stavano lí accoccolate, delle pecore, nell’erba, ferme, come dei sassi.",Bagnato,baldini,baldini__6
"Amo i brótt, ènca mè a séra póch bèl,","E be’, sai, i brutti, anch’io ero poco bello,",Brutto,baldini,baldini__7
"però pu si an, ch’l’avrébb da ès pézz, invìci, l’arvén, dabón,","però poi con gli anni, che dovrebbe essere peggio, invece, cambi in meglio, davvero,",Brutto,baldini,baldini__7
mè a m so ènca inamurè.,io mi sono anche innamorato.,Brutto,baldini,baldini__7
"Vintitrí an, carina, inamurèda,","Ventitre anni, carina, innamorata,",1948,baldini,baldini__8
"mo i sóvv i n vléva, e’ su bà dal scenèdi, par dal stmèni, di méis, ‘na guèra,","ma i suoi non volevano, suo padre delle scenate, per settimane, mesi, una guerra,",1948,baldini,baldini__8
"li sèmpra piò inamurèda,","lei sempre più innamorata,",1948,baldini,baldini__8
"e l’altresàira la è ‘ndè a lèt prèst, la s’è céusa tla cambra,","e l’altra sera è andata a letto presto, si è chiusa in camera,",1948,baldini,baldini__8
e la matéina la n s’è svéggia piò.,e la mattina non s’è svegliata più.,1948,baldini,baldini__8
"Che amzès u n va bén, u n s po’,","Che uccidersi non va bene, non si può,",1948,baldini,baldini__8
"però sta burdèla, adè, cm’e’ farà e’ Signòur a mandèla a l’inféran?","però ’sta bambina, adesso, come farà il Signore a mandarla all’inferno?",1948,baldini,baldini__8
"La mèstra ad Sant’Armàid dal vólti, e’ dopmezdè, la s céud tla cambra e la zènd una Giubek.","La maestra di Sant’Ermete delle volte, il pomeriggio, si chiude in camera e accende una Giubek.",1938,baldini,baldini__2__0
La n fómma.,Non fuma.,1938,baldini,baldini__2__0
Stuglèda sòura e’ lèt la guèrda ch’la s cumsómma.,Sdraiata sul letto la guarda consumarsi.,1938,baldini,baldini__2__0
U i pis l’udòur.,Le piace l’odore.,1938,baldini,baldini__2__0
Dal vólti u i vén da pianz.,Delle volte le viene da piangere.,1938,baldini,baldini__2__0
"La taiéva dal rósi,","Tagliava delle rose,",Rose,baldini,baldini__2__1
"“Al sarà bèli? sta zala l’è un spetècal, sint che udòur”, tótt da par li,","“Saranno belle? questa gialla è uno spettacolo, senti che profumo”, tutto da sola,",Rose,baldini,baldini__2__1
"mè a paséva d’alè,","io passavo di lì,",Rose,baldini,baldini__2__1
"“Sint che roba, Secondo“, “E’ sarà rósi”,","”Senti che roba, Secondo”, “Saranno rose”,",Rose,baldini,baldini__2__1
"“Mo sint!”, “Orca, però”,","”Ma senti!”, “Orca, però”",Rose,baldini,baldini__2__1
"ch’a m séra zcórd, mè, l’era di an,","che mi ero dimenticato, io, erano anni,",Rose,baldini,baldini__2__1
"“Sta zètta”,","“Sta’ zitta”,",Rose,baldini,baldini__2__1
"cmé un insógni l’è stè, a séra burdèl,","come un sogno è stato, ero bambino,",Rose,baldini,baldini__2__1
"u i era e’ vént, a curéva, e l’erba stàisa cmè la sàida,","c’era il vento, correvo, e l’erba stesa come la seta,",Rose,baldini,baldini__2__1
"pu gnént, l’è pas, un lèmp,","poi niente è passato, un lampo,",Rose,baldini,baldini__2__1
"téira pò sò, si ócc céus, gnénca l’udòur, piò gnént,","tira pur su, con gli occhi chiusi, neanche il profumo, più niente,",Rose,baldini,baldini__2__1
"“Alè, pataca, a m so furè”.","“Bravo coglione, mi sono punto”.",Rose,baldini,baldini__2__1
"L’è stè una sàira ad lói, sla léuna zala,","È stato una sera di luglio, con la luna gialla,",Il bagno di notte,baldini,baldini__2__2
"a sérmi me Pasègg, u s’è vnú vòia d’andè a fè e’ bagn.","eravamo al Passeggio, c’è venuta voglia d’andare a fare il bagno.",Il bagno di notte,baldini,baldini__2__2
"Mez’òura dop a pasémmi zà al sbari dia staziòun vècia,","Mezz’ora dopo passavamo già le sbarre della stazione vecchia,",Il bagno di notte,baldini,baldini__2__2
"a pedalémmi da zétt framèza i gréll, fintènt che un bòtal l’à travarsè la strèda ma la Lidia","pedalavamo zitti in mezzo ai grilli, finché un rospo ha attraversato la strada alla Lidia",Il bagno di notte,baldini,baldini__2__2
e li la à fat un rógg che m’una chèsa ad cuntadéin i à zais la luce.,e lei ha fatto un urlo che a una casa di contadini hanno acceso la luce.,Il bagno di notte,baldini,baldini__2__2
"A sémm pas par la Tòrra, pu a Burdòuncia, e da ‘lè drétt fina Castelabèt, dvò ch’u n gn’era niseun.","Siamo passati per la Torre, poi a Bordonchio, a da lì dritto sino a Castellabate, dove non c’era nessuno.",Il bagno di notte,baldini,baldini__2__2
"Al biciclètti agli è sguilé tla sabia si pedèl pr’aria,","Le biciclette sono scivolate nella sabbia con i pedali in aria,",Il bagno di notte,baldini,baldini__2__2
"l’aqua la era granda, lócida e nira cmè ch’e’ fóss catràm,","l’acqua era grande, lucida e nera come fosse catrame;",Il bagno di notte,baldini,baldini__2__2
"agli òndi al s’arugléva pièn, t’un susórr, e al s’arivéva tévdi fina i pi.","le onde rotolavano piano, in un sussurro, e ci arrivavano tiepide fino ai piedi.",Il bagno di notte,baldini,baldini__2__2
"Dop a s sémm sparguiè tra i tamaréisgh e al béusi par spuiès,","Dopo ci siamo sparsi fra i tamerischi e le buche per spogliarci,",Il bagno di notte,baldini,baldini__2__2
"u i è viú póch, Ghigo l’à fat un fés-ci","c’è voluto poco, Ghigo ha fatto un fischio",Il bagno di notte,baldini,baldini__2__2
"e l’è stè tott un córr,","ed è stato tutto un correre,",Il bagno di notte,baldini,baldini__2__2
"mo me léun ‘d léuna mè u m’è pèrs d’avdài, e i la à vésta ènca ch’ilt, e a s sémm férm a guardèla cumè di bucaléun, la Daria ch’ la curéva totta néuda,","ma al lume della luna a me m’è parso di vedere, e l’hanno vista anche gli altri, e ci siamo fermati a guardarla come dei boccaloni, la Daria che correva tutta nuda,",Il bagno di notte,baldini,baldini__2__2
"la pareva una mata,","pareva una matta,",Il bagno di notte,baldini,baldini__2__2
"la s’è pasa te mèz e la n s’avdéva, ènca parchè la era senza ucèl,","c’è passata in mezzo e non ci vedeva, anche perché era senza occhiali,",Il bagno di notte,baldini,baldini__2__2
"mo u n gn’impurtéva gnént,","ma non le importava niente,",Il bagno di notte,baldini,baldini__2__2
"la è éintra tl’aqua t’una tempesta ad squézz,","è entrata nell’acqua in una tempesta di spruzzi,",Il bagno di notte,baldini,baldini__2__2
"la à chéurs ancòura, pu la s’è ‘rvolta indrì,","ha corso ancora, poi s’è voltata indietro,",Il bagno di notte,baldini,baldini__2__2
la à fat un sègn sal mèni,ha fatto un segno con le mani,Il bagno di notte,baldini,baldini__2__2
"e la rideva, neun a s sémm mèss a réid ènca neun,","e rideva, ci siamo messi a ridere anche noi,",Il bagno di notte,baldini,baldini__2__2
"mo a stémmi sempra alè,","ma stavamo sempre lì,",Il bagno di notte,baldini,baldini__2__2
"e li ormai la nudéva,","e lei ormai nuotava,",Il bagno di notte,baldini,baldini__2__2
"la andéva fórt,","andava forte,",Il bagno di notte,baldini,baldini__2__2
la era bèla piò in là dia prima fosa.,era già oltre la prima fossa.,Il bagno di notte,baldini,baldini__2__2
"Quèll che sa i mórt, e i n dì gnènt, i sa tótt, ènch’ quant t si ‘d chèsa, da par tè, la nòta, pórti, finestri céusi","Quel che sanno i morti, e non dicono niente, sanno tutto, anche quando sei a casa, da solo, la notte, porte, finestre chiuse",I morti,baldini,baldini__2__3
"lòu i è lè, che t si ndè lèt, l’è tèrd, t’è smórt la luce,","loro sono lì, che sei andato a letto, è tardi, hai spento la luce,",I morti,baldini,baldini__2__3
"t si svégg, te schéur, u t vén ad chi pensir ch’i n s po’ déi, lòu i è sémpra alè, i t léz dréinta,","sei sveglio, nel buio, ti vengono certi pensieri che non si possono dire, loro sono sempre lì, ti leggono dentro,",I morti,baldini,baldini__2__3
"mo i è bón, i fa féinta da no èsi.","ma sono buoni, fanno finta di non esserci.",I morti,baldini,baldini__2__3
"E’ nóv ad lói, ‘na dmènga,","Il nove luglio, una domenica",Luglio,baldini,baldini__2__4
"e’ gév’ès vérs al zéinch de dopmezdè, a Zula, própia in zéima, ma la chèsa ad Baròus,","dovevano essere le cinque del pomeriggio, a Ciola, proprio in cima, alla casa di Baròus,",Luglio,baldini,baldini__2__4
"mo di dri, tl’òmbra, tra la siva, che adlà e’ cala zò drétt ad quèll ‘d Lasagna, e e’ méur, che l’era totta una vardéura, s’un vangín che faséva d’ogni tènt un pó ‘d smasór tra ‘l cani, m’un tavuléin i zughéva a trisétt","ma di dietro, nell’ombra, tra la siepe, che di là cala giù dritto nel fondo di Lasagna, e il muro, che era tutta una verdura, con un venticello che faceva ogni tanto un po’ di tramestio fra le canne, a un tavolino giocavano a tressette",Luglio,baldini,baldini__2__4
e i tnéva i sas sal chèrti pòsta ch’a n vuléss véa.,e tenevano i sassi sulle carte perché non volassero via.,Luglio,baldini,baldini__2__4
"E quante ma quèll ‘d mèna u i è vnú la crécca ad còppi e tri tré fal denèri, l’à gunfiè un pó, mo zétt, u n s’è fat cnòss,","E quando a quello di mano gli è venuta la cricca di coppe e tre tre senza danari, s’è gonfiato un po’ ma zitto, non s’è fatto capire,",Luglio,baldini,baldini__2__4
"u s’è cònd sla scaràna,","s’è accomodato sulla sedia,",Luglio,baldini,baldini__2__4
"pu l’è scap sl’as, e u n géva ancòura gnént,","poi è uscito con l’asso, e non diceva ancora niente,",Luglio,baldini,baldini__2__4
"mo da la cuntantèzza l’à dè una bota se lègn che ti bicir e’ véin l’à tremè tótt,","ma dalla contentezza ha dato una botta sul legno che nei bicchieri il vino ha tremato tutto,",Luglio,baldini,baldini__2__4
e la zghéla se zris la è stèda zétta ad bot da la paéura.,e la cicala sul ciliegio ha taciuto di botto dalla paura.,Luglio,baldini,baldini__2__4
