nds,de
Ik arbeid hier. Ik bün keen Gast.,Ich arbeite hier. Ich bin kein Gast.
Tom hett ’n Halfbroder.,Tom hat einen Halbbruder.
Disse Schokelaad is unbannig sööt un lecker.,Diese Schokolade ist total süß und lecker.
Wi mööt uns an dat Gesett hollen.,Wir müssen uns an das Gesetz halten.
Tom hett en Leed över Ria schreven.,Tom hat ein Lied über Maria geschrieben.
Tom hett sik al jümmer vun’e annern Kinner ünnerscheeden.,Tom hat sich schon immer von den anderen Kindern unterschieden.
Tom is up de Straat vör de Kerk dootschoten worrn.,Tom wurde auf der Straße vor der Kirche erschossen.
Tom is up de Straat vör de Kerk dootschoten worrn.,Tom wurde auf der Straße vor der Kirche totgeschossen.
Tom is ünnen.,Tom ist unten.
En Lastwagen deed de Straat langsjagen.,Ein Lastwagen raste die Straße entlang.
Ik bün jüst opstahn.,Ich bin gerade aufgestanden.
Haal de Appelsienen ut ’n Köhlschapp.,Hole die Orangen aus dem Kühlschrank.
Se seeg en Spökels un verfehr sik.,Sie sah ein Gespenst und erschrak.
Se hebbt sik körtens freet.,Sie haben kürzlich geheiratet.
Nööm mi Ismael.,Nenne mich Ismael.
"Wat vertellst du mi opmaal von Nielpeer? Ik verstah nich, wat de mit diene twölv Goldfisch to doon hebbt?",Wieso erzählst du mir plötzlich von Nilpferden? Ich sehe den Zusammenhang zwischen ihnen und deinen zwölf Goldfischen nicht.
Bi mi tohuus bruukt wi Margarien un keen Botter.,Bei mir zu Hause verwenden wir Margarine statt Butter.
Ik lach mi dal.,Ich lach mich kaputt.
Ik lach mi dal!,Ich lache mich kaputt!
Nich all Vagels köönt flegen.,Nicht alle Vögel können fliegen.
Tom will nich mit di snacken.,Tom will nicht mit dir reden.
Strengsnacken is sien Antwoort nich korrekt.,Genau genommen ist seine Antwort nicht zutreffend.
"Du musst doon, wat ik segg.","Du musst tun, was ich sage."
Tom keem vör Mary an.,Tom kam vor Mary an.
Welke Hoorfarv hett Tom?,Welche Haarfarbe hat Tom?
Se hett em schreen höört.,Sie hat ihn schreien gehört.
Se hett em schreen höört.,Sie hat ihn schreien hören.
Dat Schipp lööp op Grund.,Das Schiff lief auf Grund.
Se sünd Frünnen bleven.,Sie sind Freunde geblieben.
"Gesetten sünd as Spinnweven, de lütte Flegen infangt, man Wöpschen un Peerhöörnken dörbreken lett.","Gesetze sind wie Spinnweben, die kleine Fliegen einfangen, aber Wespen und Hornissen durchbrechen lassen."
Wat en groten Jung he is!,Was er für ein großer Junge ist!
Wat en groten Jung he is!,Was für ein großer Junge er ist!
Snackt ji mit mi?,Redet ihr mit mir?
De Jungs sünd na Noorden gahn.,Die Jungen sind nach Norden gegangen.
Ik will noch en beten slapen!,Ich will noch ein bisschen schlafen!
Woveel Bookstaven hett dat Alfabeet?,Wie viele Buchstaben hat das Alphabet?
Dor weer maal en groot Slott op den lütten Barg.,Es gab einmal ein großes Schloss auf dem kleinen Berg.
Ik bün blau.,Ich bin betrunken.
Ik bün blau.,Ich bin blau.
De Bruud deed opmaal loospruuschen.,Die Braut lachte plötzlich.
Ik seh allens dubbelt.,Ich sehe alles doppelt.
Se künnt hier up se teuven.,Sie können hier auf sie warten.
Laat mi nich alleen!,Lass mich nicht allein!
Ik sliek mi in dat Huus.,Ich schleiche mich ins Haus.
Du schusst mehr eten.,Du solltest mehr essen.
He rööp üm Middernacht an.,Er rief um Mitternacht an.
Anter.,Antworte!
"Wat meenst du dor mit, dat du dat nich weetst?","Was meinst du damit, dass du das nicht weißt?"
Ik söök na en Arbeidssteed.,Ich suche eine Arbeitsstelle.
Ik söök na en Arbeidssteed.,Ich bin auf der Suche nach einer Arbeitsstelle.
"Ik heff vergeten, em dorna to fragen.","Ich habe vergessen, ihn danach zu fragen."
Tofällig fünn he siene verlorene Kamera wedder.,Zufällig fand er seine verlorene Kamera wieder.
Elk Hahn kreiht op sien egen Mesthümpel.,Jeder Hahn kräht auf seinem eigenen Misthaufen.
Woneem kann een Böker köpen?,Wo kann man Bücher kaufen?
Uns Tuun is ut Iesen.,Unser Zaun ist aus Eisen.
Nu sünd ji an ’e Reeg.,Jetzt seid ihr dran.
St. Louis in Missouri is beropen för den Gateway Arch un de Anheuser-Busch-Broeree.,St. Louis in Missouri ist berühmt für den Gateway Arch und die Anheuser-Busch-Brauerei.
Höört disse Böker di to oder mi?,Gehören dir diese Bücher oder mir?
Föhrst du mit ’n Bus na Tokyo?,Fährst du mit dem Bus nach Tokio?
Se kunn alltied op alle Fragen antern.,Sie konnte immer auf alle Fragen antworten.
Hest du enen Knall?,Hast du einen Knall?
Wo faken musst du na ’n Tähndokter?,Wie oft musst du zum Zahnarzt?
’keen hett düssen Kauken backt?,Wer hat diesen Kuchen gebacken?
De Königin hett dat Museum besöcht.,Die Königin hat das Museum besucht.
De Königin hett dat Museum besöcht.,Die Königin besuchte das Museum.
"„Meist veer Pund“, seed Bob.","„Fast vier Pfund“, sagt Bob."
De Meed is verdammt nochmaal to hoog.,Die Miete ist verdammt noch mal zu hoch.
Ted speelt geern Trumpeet.,Ted spielt gerne Trompete.
"Wenn dat nich wohr is, is dat doch good utdacht.","Wenn das nicht wahr ist, ist es doch gut ausgedacht."
Ik heff dat trechkregen.,Ich habe es fertig gebracht.
Tom hett dreedusend Yen in ’e Tasch.,Tom hat dreitausend Yen in der Tasche.
He hett ehr towunken.,Er hat ihr zugewinkt.
"Se hebbt allerwegens op de Welt Filialen, von Kalkutta bet New York.","Sie haben überall auf der Welt Filialen, von Kalkutta bis New York."
De Sommerfeern fangt in ’n Juli an.,Die Sommerferien beginnen im Juli.
"Kiek dien Katt to, denn lehrst du ehr kennen.","Beobachte deine Katze, dann wirst du sie kennen lernen."
De Hund jagt de Katt üm’n Boom.,Der Hund jagt die Katze um den Baum.
"Ik mag all Films, bi de Juzo Itami Speelbaas is.","Ich mag alle Filme, bei denen Juzo Itami Regisseur ist."
Ik heff mi heesch snackt.,Ich redete mich heiser.
Leest dissen Satz nich.,Diesen Satz nicht lesen!
"Köttens, as wi in’n Bookladen in Schottland wören, do freug mien Fru den jungen Verkäuper, of he vun’n bestimmten Kinnerbook en Utgoov up Gäälsch harr.","Als wir kürzlich in einer Buchhandlung in Schottland waren, fragte meine Frau den jungen Verkäufer, ob er von einem bestimmten Kinderbuch eine Ausgabe auf Gälisch habe."
De Weltruum is vull mit Radels.,Der Weltraum ist voller Rätsel.
Worüm hest du dat seggt?,Warum hast du das gesagt?
"Mien Hund Wolfgang slöppt jümmer neven mi op’e Bank, wieldat ik mi mit’n Reekner befaten do.","Mein Hund Wolfgang schläft immer neben mir auf der Bank, während ich am Rechner arbeite."
Ik schall nienich opgeven.,Ich werde niemals aufgeben.
Du musst mehr arbeiden.,Du musst mehr arbeiten.
Ik will Ies naeten.,Ich will Eis zum Nachtisch.
Woneem is de Zoo?,Wo ist der Zoo?
Ik wull ik weer wedder jung.,"Ich wünschte, ich wäre wieder jung."
He hett noch wedder den Weddloop wunnen.,Er gewann erneut den Wettlauf.
De Sozialistische Partei hett man 18% von de Stimmen kregen.,Die Sozialistische Partei hat nur 18% der Stimmen bekommen.
Wat heff ik daan?,Was habe ich getan?
Ik bün ook frömd hier.,Ich bin auch fremd hier.
Wi sünd op de Knee gahn un hebbt beedt.,Wir knieten uns hin und beteten.
Snack luder. Dien Opa höört nich mehr so good.,Sprich lauter! Dein Opa hört nicht mehr so gut.
Hett he di wat seggt?,Hat er dir etwas gesagt?
Dat Bild hangt scheev.,Das Bild hängt schief.
Dat is tohoop utverköfft.,Es ist komplett ausverkauft.
Dat hett mi verblüfft.,Das hat mich verblüfft.
Se driggt en düren Ring.,Sie trägt einen teuren Ring.
"Wenn ik Tom seh, segg ik em, dat ji em söcht hebbt.","Wenn ich Tom sehe, sage ich ihm, dass ihr ihn gesucht habt."
Se hett so smucke Ogen.,Sie hat so schöne Augen.
De Slüters wüllt von Middernacht af an dree Daag lang strieken.,Die Gefängniswärter werden ab Mitternacht drei Tage lang streiken.
Intressant.,Interessant.
De Eer dreiht sik üm de Sünn.,Die Erde umkreist die Sonne.
Wat harrst du?,Was hattest du?
Ik speel Sudoku un stöör di nich mehr.,"Ich werde also Sudoku spielen, anstatt dich weiter zu stören."
De Luft is rut.,Die Luft ist raus.
"Dat Kind lett, as wenn dat slöppt.",Das Kind scheint zu schlafen.
Wo geiht mien Söhn dat?,Wie geht es meinem Sohn?
Woneem hest du Chineesch lehrt?,Wo hast du Chinesisch gelernt?
Büs du n Student?,Bist du Student?
Speelst du mit miene Fööt?,Spielst du mit meinen Füßen?
"Dat deed to lang duren, di to verkloren, worüm as dat nich gahn deed.","Das würde zu lange dauern, dir zu erklären, warum das nicht funktionieren wird."
Mien Naver hett sien Huus kumplett reneveert.,Mein Nachbar hat sein Haus komplett renoviert.
Na en Stoot keem he mit en Wöörbook ünner ’n Arm trügg.,Nach einer Weile kam er mit einem Wörterbuch unter dem Arm zurück.
"Wenn de Katten pruust, warrt dat good Weder.","Wenn die Katzen niesen, wird das Wetter gut."
Hest du keen Stemm in ’n annern Ruum höört?,Hast du keine Stimme im Nebenraum gehört?
Dree Beer un een Tequila harr ik geern.,"Drei Bier und einen Tequila, bitte!"
Ik bruuk dat nich mehr.,Ich brauche es nicht mehr.
Ik bruuk dat nich mehr.,Ich brauche das nicht mehr.
Dat is nix as en Löög!,Das ist nichts als eine Lüge!
Wat wullt du geern doon?,Was würdest du gerne machen?
Ik heff dat mit de Neren.,Ich habe etwas mit den Nieren.
Ik swemm geern.,Ich schwimme gern.
Mike hett en poor Frünnen in Florida.,Mike hat ein paar Freunde in Florida.
Disse is beter.,Dieses ist besser.
Mien Hund tillert mit ’n Steert.,Mein Hund wedelt mit dem Schwanz.
Dor dröff ik nix to seggen.,Da darf ich nichts zu sagen.
Bi Nacht sünd all Katten gries.,Bei Nacht sind alle Katzen grau.
Ik bün vör Eerdbevens bang.,Ich fürchte mich vor Erdbeben.
Ik bün vör Eerdbevens bang.,Ich habe vor Erdbeben Angst.
Dat gefallt mi temlich good.,Es gefällt mir sehr gut.
Ik weet dor meist nix över.,Ich weiß fast nichts darüber.
"Wenn een toveel itt, warrt een dick.","Wenn man zu viel isst, wird man dick."
Elektrostal is veel grötter as Asbest.,Elektrostal ist deutlich größer als Asbest.
Dat is al Klock teihn avends.,Es ist schon zehn Uhr abends.
"Dat is keen Hebrääsch, man Jiddisch.","Das ist kein Hebräisch, sondern Jiddisch."
Snack dor mit em nich över.,Rede mit ihm nicht darüber.
Do wat du wullt.,"Mache, was du willst."
Do wat du wullt.,"Mach, was du willst."
Eet dien Supp!,Iss deine Suppe!
Is de Bank apen?,Hat die Bank geöffnet?
